Horario,Provincia,Municipio,"Código
Postal",Dirección,Longitud,Latitud,Margen,Rótulo
Horario Flexible,ALBACETE,Pozohondo,2141,"CR CM-313 61,7","-1,910750","38,717556",I,REPSOL
Horario Flexible,ALBACETE,Pozo-Lorente,2154,"POLIGONO PARAJE RECIAL, 2","-1,512611","39,081278",I,SAT SANTA CRUZ DE POZO LORENTE
Horario Flexible,ALBACETE,Pozuelo,2327,CARRETERA M 313 KM. 50,"-2,098778","38,804722",I,INLOCOR S.L.
Horario Flexible,ALBACETE,Riópar,2450,"CARRETERA CM-412 KM. 199,5","-2,411444","38,493528",I,CEPSA
Horario Flexible,ALBACETE,Robledo,2340,CARRETERA NACIONAL 320 KM. 289,"-2,450028","38,771194",D,CANOIL
Horario Flexible,ALBACETE,Socovos,2435,"AVENIDA DE LA PAZ, 3","-1,981861","38,331361",D,"NAVARRO Y VALERO, S.L"
Horario Flexible,ALBACETE,Valdeganga,2150,SANTA CRUZ 16,,,D,NO HAY
Horario Flexible,ALBACETE,Villalgordo del Júcar,2636,"CARRETERA CM-3114 KM. 12,7","-2,067639","39,302389",I,RESTAURANT E LAS POLAS
Horario Flexible,ALBACETE,Villapalacios,2350,"CR N-322, 258,8","-2,626222","38,581722",D,REPSOL
Horario Flexible,ALICANTE,Algorfa,3169,"POLIGONO SECTOR VIII -EL ZOCO, S/N",,,N,BP
Horario Flexible,ALICANTE,Algueña,3668,"CALLE SAN JUAN, 32","-0,998222","38,339222",D,CEPSA
Horario Flexible,ALICANTE,Beneixama,3460,"CARRETERA VILLENA-ALCUDIA KM. 10,608","-0,771194","38,698000",D,ESTACIONES DE SERVICIO DIEGO S.L.
Horario Flexible,ALICANTE,Benijófar,3178,"CALLE ALCALDE FRANCISCO GONZALEZ FERNANDEZ, 32","-0,745028","38,077222",N,BENIEXPRESS
Horario Flexible,ALICANTE,Biar,3410,"CARRETERA ALCOY -VILLENA KM. 38,2",,,I,REPSOL
Horario Flexible,ALICANTE,Bigastro,3380,"CALLE DEL PROGRESO, 24","-0,884611","38,059056",D,BIGASOIL
Horario Flexible,ALICANTE,Busot,3111,"CALLE EL PI, 1","-0,424194","38,477806",I,ATLANTIS EXPRESS
Horario Flexible,ALICANTE,Cañada,3409,"CALLE BIAR, 1",,,D,COOPERATIV A SAN CRISTOBAL
Horario Flexible,ALICANTE,Granja de Rocamora,3348,"AVENIDA JUAN CARLOS I, S/N","-0,889806","38,156000",N,GALP
Horario Flexible,ALICANTE,Hondón de las Nieves,3688,"AVINGUDA VIRGEN DE LAS NIEVES, S/N","-0,849528","38,310167",D,REPSOL
Horario Flexible,ALICANTE,Hondón de los Frailes,3689,CARRETERA CTRA. ARCHENA KM. 32,"-0,920417","38,277611",N,SANTA CRUZ
Horario Flexible,ALICANTE,Jacarilla,3310,"CARRETERA JACARILLA-BENEJUZAR KM. 2,5","-0,859028","38,062972",D,BP PETROBENE
Horario Flexible,ALICANTE,Jijona/Xixona,3100,"CALLE FRANCESC NIOLAU MIRA MIRALLES, S/N","-0,505083","38,534028",I,CEPSA
Horario Flexible,ALICANTE,Orba,3790,"CARRETERA CV-715 KM. 21,5","-0,062250","38,771694",I,GASORBA
Horario Flexible,ALICANTE,Salinas,3638,"CALLE LA MOLINETA, S/N",,,N,MEROIL
Horario Flexible,ALICANTE,San Miguel de Salinas,3193,"RONDA OESTE, S/N","-0,793111","37,981583",D,REPSOL
Horario Flexible,ALICANTE,Tibi,3109,A-7 km 17,"-0,603167","38,498222",D,BP
Horario Flexible,ALICANTE,Verger (el),3770,"AVENIDA VALENCIA, 50","0,000306","38,855278",N,BIOIL
Horario Flexible,ALMERÍA,Abla,4510,"CARRETERA CARRETERA NACIONAL 324 KM. 268,1","-2,772778","37,144750",I,CEPSA
Horario Flexible,ALMERÍA,Albánchez,4857,"CARRETERA AL-3325, 15,2 KM. 15,2",,,D,PETRONOR
Horario Flexible,ALMERÍA,Alhama de Almería,4400,"CARRETERA A-348 KM. 138,830","-2,555722","36,949944",D,REPSOL
Horario Flexible,ALMERÍA,Fines,4869,"CALLE ARGENTINA (CAÑ), 34","-2,266972","37,363417",I,GONZALEZ CAÑABATE CARBURANT ES
Horario Flexible,ALMERÍA,Fiñana,4500,A-92A km 333,"-2,832778","37,160889",D,CEPSA
Horario Flexible,ALMERÍA,Gádor,4560,"BARRIO RUINI, 16","-2,475083","36,945361",D,CEPSA
Horario Flexible,ALMERÍA,Gallardos (Los),4280,"CARRETERA CTRA. NACIONAL 340 KM. 520,700","-1,932611","37,168139",I,REPSOL
Horario Flexible,ALMERÍA,Láujar de Andarax,4470,CARRETERA ORGIVA-AGADOR KM. 96,"-2,911278","36,988611",I,REPSOL
Horario Flexible,ALMERÍA,Lubrín,4271,"POLIGONO LA REDONDA, 1","-2,064417","37,219444",D,INICIATIVAS RUMIAL
Horario Flexible,ALMERÍA,María,4838,"CALLE CAMINO REAL, SN","-2,168333","37,707972",D,REPSOL
Horario Flexible,ALMERÍA,Olula del Río,4860,"AVENIDA AVDA. ALMANZORA, 45","-2,297500","37,356667",N,EE.SS. SAN SEBASTIAN
Horario Flexible,ALMERÍA,Oria,4810,"AVENIDA ANDALUCIA, 62","-2,287528","37,485000",I,CEPSA
Horario Flexible,ALMERÍA,Purchena,4870,"CR A-334, 50.9 (A-334 km 50,9)","-2,339556","37,358250",D,REPSOL
Horario Flexible,ALMERÍA,Sorbas,4270,CARRETERA A-316 UBEDA-CABRA PK. 169 KM. S/N,"-2,121306","37,097500",D,E/S SAN JAVIER
Horario Flexible,ALMERÍA,Taberno,4692,CARRETERA HUERCAL-OVERA KM. 19400,"-2,071556","37,463389",I,CEPSA
Horario Flexible,ALMERÍA,Tahal,4275,"CARRETERA A-349 KM. 26,6","-2,296194","37,231111",D,CEPSA
Horario Flexible,ALMERÍA,Tíjola,4880,"AVENIDA AVD. JOSE ANTONIO, 18","-2,432222","37,347722",D,REPSOL
Horario Flexible,ALMERÍA,Vélez-Blanco,4830,"CARRETERA C-321, PJE.CAÑADA DE NAVARRO KM 000000 KM. 162",,,D,ANROROIL
Horario Flexible,ALMERÍA,Vélez-Rubio,4820,AV ANDALUCIA 41,"-2,070389","37,646750",I,(SIN RÓTULO)
Horario Flexible,ALMERÍA,Viator,4240,"CALLE SIERRA DE CAZORLA, 23 (P.I. LA JUAIDA), 23","-2,419472","36,884611",D,REPSOL
Horario Flexible,ASTURIAS,Allande,33880,"CL AVENIDA DE GALICIA, 44","-6,614222","43,271667",I,PETRONOR
Horario Flexible,ASTURIAS,Belmonte de Miranda,33830,CARRETERA CTRA DEL PUERTO S/N KM. 1,"-6,218333","43,286861",I,GALP
Horario Flexible,ASTURIAS,Bimenes,33527,"CARRETERA AS-251 KM. 14,2","-5,567028","43,321000",N,REPSOL
Horario Flexible,ASTURIAS,Boal,33720,"CALLE ISIDORO FONTANA, S/N","-6,815833","43,431056",D,CAMPSA
Horario Flexible,ASTURIAS,Cabrales,33554,"CARRETERA AS-114 KM. 32,80","-4,795833","43,297944",D,ESC- PETROLEOS
Horario Flexible,ASTURIAS,Castropol,33794,"POLIGONO POL. IND. BARRES, PARCELA 11/7, 1","-6,983167","43,532833",D,MP
Horario Flexible,ASTURIAS,Franco (El),33746,"CR N-634, 535,8","-6,845083","43,555028",D,REPSOL
Horario Flexible,ASTURIAS,Grandas de Salime,33730,"AVENIDA GALICIA, S/N","-6,879361","43,219472",N,EL SALVADOR
Horario Flexible,ASTURIAS,Ibias,33810,"ALDEA AV AURELIO MENENDEZ, SN","-6,871306","43,038139",D,CAMPSA
Horario Flexible,ASTURIAS,Muros de Nalón,33138,"AVENIDA RIEGO, 5","-6,101111","43,541000",D,GALP
Horario Flexible,ASTURIAS,Nava,33520,"CARRETERA N-634 KM. 379,7","-5,546583","43,373056",I,GALP
Horario Flexible,ASTURIAS,Peñamellera Baja,33570,"CR N-621, 176","-4,583000","43,327472",D,REPSOL
Horario Flexible,ASTURIAS,Proaza,33114,CARRETERA AS-228 KM. 13,"-6,010306","43,258222",N,ESTACION DE SERVICIO VALLE DE TRUBIA S.L.
Horario Flexible,ASTURIAS,Ribadedeva,33590,"CARRETERA NACIONAL 634. KM. 78,8","-4,557444","43,381722",D,PETRONOR
Horario Flexible,ASTURIAS,Salas,33868,"ALDEA POLIGONO INDUSTRIAL, 1","-6,232806","43,404750",D,REPSOL
Horario Flexible,ASTURIAS,San Tirso de Abres,33774,CARRETERA 640 KM. 26,"-7,148583","43,412944",I,PETRONOR
Horario Flexible,ASTURIAS,Somiedo,33840,CARRETERA CARRETERA GENERAL S/N KM. 38,"-6,259222","43,099417",D,EE SS SOMIEDO
Horario Flexible,ASTURIAS,Soto del Barco,33459,CARRETERA N-632 KM. 109,"-6,023917","43,542667",D,BP - CARCEDO - SOTO BARCO
Horario Flexible,ASTURIAS,Teverga,33110,AS-228 km 28,"-6,096833","43,164806",D,PETRONOR
Horario Flexible,ASTURIAS,Vegadeo,33770,"CL AVENIDA DE ASTURIAS, 67","-7,051250","43,470806",D,PETRONOR
Horario Flexible,ASTURIAS,Villanueva de Oscos,33777,"PESOZ-ALTO D L GARGANTA,K.20,740","-6,986250","43,310417",N,GALP
Horario Flexible,ÁVILA,Adrada (La),5430,"AVENIDA DE MADRID, 60","-4,641667","40,303750",D,REPSOL
Horario Flexible,ÁVILA,Aldeaseca,5212,"C/PRADO NUEVO, S/N",,,D,COPLAM
Horario Flexible,ÁVILA,Arenas de San Pedro,5400,"AVDA. DE LA CONSTITUCION, 54","-5,079611","40,209000",I,FERNANDEZ BERMEJO
Horario Flexible,ÁVILA,Barco de Ávila (El),5600,"CARRETERA NACIONAL 110 KM. 335,2","-5,516528","40,358500",D,BELLAVISTA S.L.
Horario Flexible,ÁVILA,Blascosancho,5290,CARRETERA CL 507 KM 3.200 KM. 3200,"-4,615028","40,886444",I,REPSOL
Horario Flexible,ÁVILA,Candeleda,5480,"AVENIDA AVIACIÓN ESPAÑOLA, 47","-5,245833","40,154556",I,CEPSA
Horario Flexible,ÁVILA,Cebreros,5260,"AV-512 km 0,750","-4,467778","40,451778",I,CEPSA
Horario Flexible,ÁVILA,Colilla (La),5192,"CARRETERA SORIA PLASENCIA KM. 261,5","-4,758444","40,635333",D,CEPSA
Horario Flexible,ÁVILA,Fontiveros,5310,SALVADIOS-ALDEASECA km 10,,,I,SAN JUAN DE LA CRUZ
Horario Flexible,ÁVILA,Hernansanch o,5164,CARRETERA AV-804 KM. 21,"-4,730861","40,854861",D,VALCARCE
Horario Flexible,ÁVILA,Hoyo de Pinares (El),5250,"CARRETERA CEBREROS KM. 6,18","-4,427083","40,497806",I,BP
Horario Flexible,ÁVILA,Madrigal de las Altas Torres,5220,"CARRETERA CR C610 KM. 26,2","-5,000000","41,092972",I,F.COCA P. S.L.
Horario Flexible,ÁVILA,Mingorría,5280,"N-403 km 148,5","-4,663000","40,750389",D,MINGORRIA
Horario Flexible,ÁVILA,Mombeltrán,5410,"CALLE MAYOR, 56","-5,014611","40,263972",I,REPSOL
Horario Flexible,ÁVILA,Muñana,5540,CARRETERA N-110 SORIA-PLASENCIA KM. 284,"-5,014111","40,580417",D,REPSOL
Horario Flexible,ÁVILA,Muñico,5145,"CR AV-110, 29 D","-5,019667","40,705694",D,PETRONOR
Horario Flexible,ÁVILA,Nava de Arévalo,5216,"CALLE LARGA, 22",,,N,n.d
Horario Flexible,ÁVILA,Navalperal de Pinares,5240,CL-505 km 63,"-4,410556","40,585250",I,CEPSA
Horario Flexible,ÁVILA,Navaluenga,5100,CARRETERA SAN JUAN KM. 1,"-4,708444","40,413417",D,AUTOSERVICI O
Horario Flexible,ÁVILA,Navarredond illa,5120,CARRETERA BARCO KM. 34,"-4,823306","40,454028",D,REPSOL
Horario Flexible,ÁVILA,Pedro Bernardo,5470,"CR C-501 106,3","-4,886667","40,227139",D,REPSOL
Horario Flexible,ÁVILA,San Esteban del Valle,5412,CARRETERA SANTA CRUZ DEL VALLE KM. S/N,,,N,"SAN PEDRO BAUTISTA VILLACASTIN, S.COOP"
Horario Flexible,ÁVILA,San Pedro del Arroyo,5350,"CALLE CALZADA, S/N","-4,873083","40,803111",D,PETRONOR
Horario Flexible,ÁVILA,Santa María de los Caballeros,5580,"CARRETERA N-110 KM. 327,600","-5,439861","40,394611",I,CEPSA
Horario Flexible,ÁVILA,Sotillo de la Adrada,5420,"CALLE DOCTOR DIAZ PALACIOS, S,N","-4,579417","40,293194",I,CEPSA
Horario Flexible,ÁVILA,Tiemblo (El),5270,CARRETERA CTRA. N-403-A KM. KM 90,"-4,493583","40,409667",N,Q8
Horario Flexible,ÁVILA,Torre (La),5540,CARRETERA N110 KM. 280,"-4,966528","40,592361",D,GASLOWCOS T
Horario Flexible,ÁVILA,Velayos,5292,"CARRETERA N-403 AVILA -VALLADOLID KM. 22,500",,,D,BP
Horario Flexible,ÁVILA,Villanueva del Aceral,5212,CARRETERA C-605 KM. 72,"-4,849111","41,042333",I,"LAS CORREHUEL AS, S.L"
Horario Flexible,BADAJOZ,Acedera,6713,"PLAZA DE LA IGLESIA, S/N","-5,625139","39,084861",N,COOP.GUAD ALPERALES
Horario Flexible,BADAJOZ,Alange,6840,"CARRETERA BA089 KM. 42,700","-6,261611","38,792417",N,HNOS GUILLEN MONTERO S.A.L.
Horario Flexible,BADAJOZ,Albuera (La),6170,"CARRETERA CR N-435 KM. 22,50","-6,820583","38,713111",N,REPSOL
Horario Flexible,BADAJOZ,Alconchel,6131,"EX-107 km 43,5","-7,067750","38,516333",I,CEPSA
Horario Flexible,BADAJOZ,Almendral,6171,"CR N-435, 34,8","-6,817750","38,614778",D,REPSOL
Horario Flexible,BADAJOZ,Arroyo de San Serván,6850,"AVENIDA EXTREMADURA, S/N","-6,455306","38,858139",D,REPSOL
Horario Flexible,BADAJOZ,Berlanga,6930,"CR N-432A, 131,1","-5,832472","38,273722",D,PETRONOR
Horario Flexible,BADAJOZ,Bienvenida,6250,"CR C-437 25,7","-6,209611","38,294361",I,REPSOL
Horario Flexible,BADAJOZ,Burguillos del Cerro,6370,"CR BA-4311 8,5","-6,585944","38,381611",I,CAMPSA
Horario Flexible,BADAJOZ,Cabeza del Buey,6600,"AVENIDA NUESTRA SEÑORA DE BELEN, S/N","-5,230861","38,716528",D,REPSOL
Horario Flexible,BADAJOZ,Cabeza la Vaca,6293,"CALLE TOMILLAR, S/N","-6,415417","38,086667",D,E.S.SAN BENITO
Horario Flexible,BADAJOZ,Calamonte,6810,"AVENIDA EXTREMADURA, S/N","-6,455306","38,858139",D,CEPSA
Horario Flexible,BADAJOZ,Calera de León,6292,"CALLE HERNANDO DE SOTO, 2","-6,332639","38,105306",N,E.S TENTUDIA
Horario Flexible,BADAJOZ,Campillo de Llerena,6443,"CR BA-4026 0,2","-5,823806","38,501222",D,CAMPSA
Horario Flexible,BADAJOZ,Casas de Don Pedro,6770,"N430 km 153,8","-5,333722","39,110167",D,CEPSA
Horario Flexible,BADAJOZ,Castuera,6420,"AVDA. DE EXTREMADURA, S/N (EX-104 km 37,2)","-5,535000","38,716333",I,CEPSA
Horario Flexible,BADAJOZ,Codosera (La),6518,"CARRETERA BA-5001 KM KM. 17,7","-7,162361","39,213750",D,REPSOL
Horario Flexible,BADAJOZ,Cordobilla de Lácara,6487,"CARRETERA LA NAVA KM. 0,3","-6,440361","39,143750",D,IBERDOEX
Horario Flexible,BADAJOZ,Corte de Peleas,6196,"CALLE VASCO NUÑEZ DE BALBOA, 23","-6,675500","38,724528",D,COAGCOR A.I.E
Horario Flexible,BADAJOZ,Entrín Bajo,6197,"CAMINO DEL CEMENTERIO, S/N",,,D,COOPENTRIN
Horario Flexible,BADAJOZ,Esparragalejo,6860,"CALLE VIA EMERITA, 66","-6,429833","38,941250",D,CME
Horario Flexible,BADAJOZ,Feria,6390,CR N-432 57,,,I,REPSOL
Horario Flexible,BADAJOZ,Fregenal de la Sierra,6340,CARRETERA BADAJOZ-HUELVA KM. 95,"-6,649833","38,168417",D,CEPSA
Horario Flexible,BADAJOZ,Fuenlabrada de los Montes,6660,"C 712 km 1,4","-4,947033","39,131015",D,SI
Horario Flexible,BADAJOZ,Fuente de Cantos,6240,"CR N-630, 702,2","-6,299917","38,246278",D,REPSOL
Horario Flexible,BADAJOZ,Fuente del Maestre,6360,CARRETERA VILLALBA KM. 12,"-6,445194","38,531028",D,CEPSA
Horario Flexible,BADAJOZ,Fuentes de León,6280,SEGURA A CUMBRES (CTRA. SEGURA-CUMBRES PK 6 km 6),"-6,540278","38,070556",D,IBERDOEX
Horario Flexible,BADAJOZ,Garrovilla (La),6870,CARRETERA MERIDA-MONTIJO K. 11. 100 KM. 11,,,I,REPSOL
Horario Flexible,BADAJOZ,Granja de Torrehermos a,6910,"URBANIZACIÓN ANTIGUA NACIONAL 432, S/N","-5,607944","38,304361",I,CAMPSA
Horario Flexible,BADAJOZ,Herrera del Duque,6670,"AVENIDA LA PALMERA, 22",,,D,CEPSA
Horario Flexible,BADAJOZ,Higuera de la Serena,6441,CARRETERA EX-103 KM. 109,"-5,735861","38,647417",I,GALP
Horario Flexible,BADAJOZ,Hornachos,6228,CTRA. PUEBLA DE LA REINA S/N,"-6,076389","38,559639",D,SDAD.COOP. LIMT. DE HORNACHOS
Horario Flexible,BADAJOZ,Llerena,6900,"AVENIDA BADAJOZ, 2","-6,008250","38,240444",D,SAN CRISTOBAL
Horario Flexible,BADAJOZ,Maguilla,6969,"CALLE PISCINA, S/N","-5,843278","38,363028",D,IBERDOEX
Horario Flexible,BADAJOZ,Medellín,6411,CARRETERA C-520 KM. 90,"-5,948528","38,963056",I,REPSOL
Horario Flexible,BADAJOZ,Montemolín,6907,CARRETERA CASTUERA KM. 194,"-6,150583","38,112806",I,IBERDOEX
Horario Flexible,BADAJOZ,Monterrubio de la Serena,6427,"CALLE CUESTA DE LOS TEJARES S/N, S/N",,,D,LA MILAGROSA
Horario Flexible,BADAJOZ,Nava de Santiago (La),6486,"CALLE EXTREMADURA, S/N",,,D,COOPERATIV A
Horario Flexible,BADAJOZ,Oliva de Mérida,6475,CARRETERA PALOMAS-VILLANGONZALO KM. S/N,"-6,126778","38,792194",D,E.S. VIRGEN DE LA CANDELARIA
Horario Flexible,BADAJOZ,Orellana la Vieja,6740,"CARRETERA BA 105 KM. 0,55","-5,539556","39,017139",I,REPSOL
Horario Flexible,BADAJOZ,Parra (La),6176,"CARRETERA LA MORERA KM. 0,450","-6,622139","38,523944",D,IBERDOEX
Horario Flexible,BADAJOZ,Peñalsordo,6610,CTRA.PEÑALSORDO-ALMADEN,"-5,106444","38,819722",D,IBERDOEX
Horario Flexible,BADAJOZ,Puebla de Alcocer,6630,CARRETERA EX-103 KM. 44,,,D,REPSOL
Horario Flexible,BADAJOZ,Puebla de Obando,6191,"CR EX-100, 40,6","-6,620972","39,175361",I,REPSOL
Horario Flexible,BADAJOZ,Puebla de Sancho Pérez,6310,"CALLE RIO BODION, 64","-6,399917","38,415444",I,CEPSA
Horario Flexible,BADAJOZ,Pueblonuevo del Guadiana,6184,"EX-209 km 22,5","-6,760861","38,921833",I,CEPSA
Horario Flexible,BADAJOZ,Ribera del Fresno,6225,"CARRETERA EXT342 KM. 9,100","-6,233000","38,553722",D,CAMPSA
Horario Flexible,BADAJOZ,Roca de la Sierra (La),6190,CARRETERA EX-100 KM. 50,"-6,685389","39,115667",D,CEPSA
Horario Flexible,BADAJOZ,Salvaleón,6174,CTRA. NOGALES S/N,"-6,783639","38,520139",D,IBERDOEX
Horario Flexible,BADAJOZ,Santos de Maimona (Los),6230,"GUADIANA, 24","-6,368667","38,447278",D,BP
Horario Flexible,BADAJOZ,Segura de León,6270,"CR C-434, 36,5","-6,529111","38,115722",I,CAMPSA
Horario Flexible,BADAJOZ,Siruela,6650,"CARRETERA BA-136 KM. 16,700","-5,085167","38,976861",I,C.CERRO/E.S. QUINTO P.
Horario Flexible,BADAJOZ,Solana de los Barros,6209,"CARRETERA EX-300 KM. 47,2","-6,528528","38,725556",D,REPSOL
Horario Flexible,BADAJOZ,Talarrubias,6640,CARRETERA BA-401 KM. 1,"-5,233778","39,030028",D,GALP
Horario Flexible,BADAJOZ,Torre de Miguel Sesmero,6172,CARRETERA EX-105 KM. 110,"-6,790111","38,612278",D,DOEX
Horario Flexible,BADAJOZ,Torremejía,6210,CTRA. GIJÓN-SEVILLA,"-6,377500","38,793611",D,MORENO
Horario Flexible,BADAJOZ,Usagre,6290,"CARRETERA N-432 KM. 96,4","-6,172417","38,345250",I,CEPSA
Horario Flexible,BADAJOZ,Valdecaballer os,6689,"CR BA-5, 1,8","-5,188750","39,251972",I,IBERDOEX
Horario Flexible,BADAJOZ,Valdelacalza da,6185,"CALZADA ROMANA, S/N","-6,701500","38,886944",N,IBERDOEX
Horario Flexible,BADAJOZ,Valencia de las Torres,6444,"AVENIDA JOSE CAMPILLO, 2","-6,001778","38,406861",D,REPSOL
Horario Flexible,BADAJOZ,Valencia del Mombuey,6134,"CARRETERA BAV-2122 KM. 0,1","-7,121778","38,239472",D,GALP
Horario Flexible,BADAJOZ,Valencia del Ventoso,6330,"CTRA. DE VCIA. DEL VENTOSO -ZAFRA km 0,8",,,D,COOP. DELCAMPO SAN ISIDRO DE VALENCIA DEL VENTOSO
Horario Flexible,BADAJOZ,Valle de la Serena,6458,"POLIGONO CTRA. HIGUERA DE LA SERENA, S/N","-5,796278","38,695278",D,06/32718
Horario Flexible,BADAJOZ,Valverde de Leganés,6130,CARRETERA BADAJOZ KM. 1,,,D,IBERDOEX
Horario Flexible,BADAJOZ,Villagonzalo,6473,"CARRETERA OLIVA DE MERIDA KM. 0,200","-6,193861","38,856944",I,SDAD. COOP. DEL CAMPO NUESTRO PADRE JESUS
Horario Flexible,BADAJOZ,Villanueva del Fresno,6110,CARRETERA EX-107 KM. 107,"-7,168028","38,379139",I,IBERDOEX
Horario Flexible,BADAJOZ,Villar de Rena,6717,"CARRETERA EXT-354 KM. 9,040","-5,794333","39,108361",D,REP
Horario Flexible,BADAJOZ,Zalamea de la Serena,6430,"CARRETERA EX-114 KM. 0,400","-5,661250","38,673694",D,CEPSA
Horario Flexible,BADAJOZ,Zarza (La),6830,"CR C-423, 35,6","-6,219833","38,822111",I,REPSOL
Horario Flexible,BALEARS (ILLES),Alaró,7340,"AVENIDA DE LA CONSTITUCIO, 95","2,794917","39,702167",N,CEPSA
Horario Flexible,BALEARS (ILLES),Algaida,7210,"CR C-715, 21","2,895833","39,567306",I,REPSOL
Horario Flexible,BALEARS (ILLES),Bunyola,7110,"CARRETERA C-711 KM. 16,5","2,690250","39,712667",I,CEPSA
