Fecha publicación,cod_ine,CCAA,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas totales,Dosis administradas,Porcentaje de dosis administradas por 100 habitantes,Porcentaje sobre entregadas,Personas con al menos una dosis,Personas con pauta completa,Porcentaje con pauta completa,Fecha de la última vacuna registrada
2021-01-07,03,Asturias,23.720,,,,,14.406,"1,42","60,7",,,"0,00",06/01/2021
2021-01-07,04,Baleares,12.840,,,,,3.190,"0,26","24,8",,,"0,00",05/01/2021
2021-01-07,05,Canarias,27.660,,,,,7.330,"0,33","26,5",,,"0,00",06/01/2021
2021-01-07,06,Cantabria,11.850,,,,,1.564,"0,27","13,2",,,"0,00",07/01/2021
2021-01-07,07,Castilla y Leon,51.390,,,,,22.103,"0,92",43,,,"0,00",06/01/2021
2021-01-07,08,Castilla La Mancha,35.550,,,,,7.666,"0,38","21,6",,,"0,00",06/01/2021
2021-01-07,09,Cataluña,120.545,,,,,24.515,"0,32","20,3",,,"0,00",06/01/2021
2021-01-07,10,C. Valenciana,61.225,,,,,11.677,"0,23","19,1",,,"0,00",07/01/2021
2021-01-07,11,Extremadura,21.725,,,,,3.309,"0,31","15,2",,,"0,00",05/01/2021
2021-01-07,12,Galicia,37.555,,,,,20.265,"0,75",54,,,"0,00",07/01/2021
2021-01-07,17,La Rioja,5.915,,,,,858,"0,27","14,5",,,"0,00",06/01/2021
2021-01-07,13,Madrid,98.790,,,,,11.337,"0,17","11,5",,,"0,00",07/01/2021
2021-01-07,14,Murcia,25.685,,,,,7.287,"0,48","28,4",,,"0,00",07/01/2021
2021-01-07,15,Navarra,11.850,,,,,2.960,"0,45",25,,,"0,00",06/01/2021
2021-01-07,16,País Vasco,31.605,,,,,7.734,"0,35","24,5",,,"0,00",06/01/2021
2021-01-07,18,Ceuta,1.005,,,,,576,"0,69","57,3",,,"0,00",05/01/2021
2021-01-07,19,Melilla,1.005,,,,,426,"0,51","42,4",,,"0,00",05/01/2021
2021-01-07,00,España,743.925,,,,,207.323,"0,44","27,9",,,"0,00",
2021-01-08,01,Andalucía,140.295,,,,,69.445,"0,82","49,5",,,"0,00",07/01/2021
2021-01-08,02,Aragón,23.715,,,,,9.944,"0,75","41,9",,,"0,00",08/01/2021
2021-01-08,03,Asturias,23.720,,,,,17.843,"1,76","75,2",,,"0,00",08/01/2021
2021-01-08,04,Baleares,12.840,,,,,4.257,"0,35","33,2",,,"0,00",07/12/2021
2021-01-08,05,Canarias,27.660,,,,,9.572,"0,43","34,6",,,"0,00",08/01/2021
2021-01-08,06,Cantabria,11.850,,,,,2.334,"0,40","19,7",,,"0,00",08/01/2021
2021-01-08,07,Castilla y Leon,51.390,,,,,28.325,"1,18","55,1",,,"0,00",07/01/2021
2021-01-08,08,Castilla La Mancha,35.550,,,,,12.380,"0,61","34,8",,,"0,00",07/01/2021
2021-01-08,09,Cataluña,120.545,,,,,38.826,"0,51","32,2",,,"0,00",07/01/2021
2021-01-08,10,C. Valenciana,61.225,,,,,15.965,"0,32","26,1",,,"0,00",08/01/2021
2021-01-08,11,Extremadura,21.725,,,,,4.727,"0,45","21,8",,,"0,00",07/01/2021
2021-01-08,12,Galicia,37.555,,,,,24.750,"0,92","65,9",,,"0,00",08/01/2021
2021-01-08,17,La Rioja,5.915,,,,,1.674,"0,53","28,3",,,"0,00",08/01/2021
2021-01-08,13,Madrid,98.790,,,,,14.152,"0,21","14,3",,,"0,00",08/01/2021
2021-01-08,14,Murcia,25.685,,,,,8.958,"0,59","34,9",,,"0,00",08/01/2021
2021-01-08,15,Navarra,11.850,,,,,3.703,"0,56","31,2",,,"0,00",07/01/2021
2021-01-08,16,País Vasco,31.605,,,,,9.811,"0,45",31,,,"0,00",07/01/2021
2021-01-08,18,Ceuta,1.005,,,,,637,"0,76","63,4",,,"0,00",07/01/2021
2021-01-08,19,Melilla,1.005,,,,,673,"0,80",67,,,"0,00",08/01/2021
2021-01-08,00,España,743.925,,,,,277.976,"0,59","37,4",,,"0,00",
2021-01-11,01,Andalucía,140.295,,,,,81.387,"0,96",58,,,"0,00",09/01/2021
2021-01-11,02,Aragón,23.715,,,,,10.998,"0,83","46,4",,,"0,00",09/01/2021
2021-01-11,03,Asturias,23.720,,,,,18.943,"1,87","79,9",,,"0,00",09/01/2021
2021-01-11,04,Baleares,12.840,,,,,4.652,"0,38","36,2",,,"0,00",08/01/2021
2021-01-11,05,Canarias,27.660,,,,,13.607,"0,61","49,2",,,"0,00",11/01/2021
2021-01-11,06,Cantabria,11.850,,,,,8.474,"1,46","71,5",,,"0,00",11/01/2021
2021-01-11,07,Castilla y Leon,51.390,,,,,36.205,"1,51","70,5",,,"0,00",10/01/2021
2021-01-11,08,Castilla La Mancha,35.550,,,,,19.209,"0,94",54,,,"0,00",11/01/2021
2021-01-11,09,Cataluña,120.545,,,,,68.405,"0,89","56,7",,,"0,00",10/01/2021
2021-01-11,10,C. Valenciana,61.225,,,,,45.674,"0,91","74,6",,,"0,00",11/01/2021
2021-01-11,11,Extremadura,21.725,,,,,9.303,"0,88","42,8",,,"0,00",10/01/2021
2021-01-11,12,Galicia,37.555,,,,,30.418,"1,13",81,,,"0,00",11/01/2021
2021-01-11,17,La Rioja,5.915,,,,,3.457,"1,09","58,4",,,"0,00",11/01/2021
2021-01-11,13,Madrid,98.790,,,,,24.897,"0,37","25,2",,,"0,00",11/01/2021
2021-01-11,14,Murcia,25.685,,,,,10.361,"0,69","40,3",,,"0,00",11/01/2021
2021-01-11,15,Navarra,11.850,,,,,5.468,"0,83","46,1",,,"0,00",10/01/2021
2021-01-11,16,País Vasco,31.605,,,,,13.103,"0,60","41,5",,,"0,00",10/01/2021
2021-01-11,18,Ceuta,1.005,,,,,698,"0,83","69,5",,,"0,00",08/01/2021
2021-01-11,19,Melilla,1.005,,,,,832,"0,99","82,8",,,"0,00",08/01/2021
2021-01-11,00,España,743.925,,,,,406.091,"0,86","54,6",,,"0,00",
2021-01-12,01,Andalucía,140.295,,,,,94.879,"1,12","67,6",,,"0,00",11/01/2021
2021-01-12,02,Aragón,23.715,,,,,11.983,"0,90","50,5",,,"0,00",11/01/2021
2021-01-12,03,Asturias,23.720,,,,,22.428,"2,21","94,6",,,"0,00",12/01/2021
2021-01-12,04,Baleares,12.840,,,,,4.835,"0,40","37,7",,,"0,00",11/01/2021
2021-01-12,05,Canarias,27.660,,,,,15.328,"0,68","55,4",,,"0,00",12/01/2021
2021-01-12,06,Cantabria,11.850,,,,,9.527,"1,64","80,4",,,"0,00",12/01/2021
2021-01-12,07,Castilla y Leon,51.390,,,,,41.340,"1,73","80,4",,,"0,00",11/01/2021
2021-01-12,08,Castilla La Mancha,35.550,,,,,23.342,"1,14","65,7",,,"0,00",12/01/2021
2021-01-12,09,Cataluña,120.545,,,,,82.785,"1,08","68,7",,,"0,00",10/01/2021
2021-01-12,10,C. Valenciana,61.225,,,,,57.223,"1,14","93,5",,,"0,00",12/01/2021
2021-01-12,11,Extremadura,21.725,,,,,11.346,"1,07","52,2",,,"0,00",11/01/2021
2021-01-12,12,Galicia,37.555,,,,,33.346,"1,24","88,8",,,"0,00",12/01/2021
2021-01-12,17,La Rioja,5.915,,,,,3.826,"1,21","64,7",,,"0,00",11/01/2021
2021-01-12,13,Madrid,98.790,,,,,35.949,"0,53","36,4",,,"0,00",12/01/2021
2021-01-12,14,Murcia,25.685,,,,,16.191,"1,07",63,,,"0,00",12/01/2021
2021-01-12,15,Navarra,11.850,,,,,6.557,"1,00","55,3",,,"0,00",11/01/2021
2021-01-12,16,País Vasco,31.605,,,,,15.393,"0,70","48,7",,,"0,00",11/01/2021
2021-01-12,18,Ceuta,1.005,,,,,758,"0,90","75,4",,,"0,00",11/01/2021
2021-01-12,19,Melilla,1.005,,,,,1.005,"1,19",100,,,"0,00",11/01/2021
2021-01-12,00,España,743.925,,,,,488.041,"1,03","65,6",,,"0,00",
2021-01-13,01,Andalucía,209.520,,,,,109.831,"1,29","52,4",,,"0,00",12/01/2021
2021-01-13,02,Aragón,35.415,,,,,17.043,"1,28","48,1",,,"0,00",12/01/2021
2021-01-13,03,Asturias,35.420,,,,,25.278,"2,49","71,4",,,"0,00",13/01/2021
2021-01-13,04,Baleares,12.840,,,,,4.931,"0,41","38,4",,,"0,00",12/01/2021
2021-01-13,05,Canarias,41.310,,,,,22.290,"0,99",54,,,"0,00",13/01/2022
2021-01-13,06,Cantabria,17.700,,,,,11.302,"1,94","63,9",,,"0,00",13/01/2021
2021-01-13,07,Castilla y Leon,76.740,,,,,48.243,"2,02","62,9",,,"0,00",12/01/2021
2021-01-13,08,Castilla La Mancha,53.100,,,,,26.879,"1,32","50,6",,,"0,00",13/01/2021
2021-01-13,09,Cataluña,180.020,,,,,92.133,"1,20","51,2",,,"0,00",12/01/2021
2021-01-13,10,C. Valenciana,91.450,,,,,70.870,"1,41","77,5",,,"0,00",13/01/2021
2021-01-13,11,Extremadura,32.450,,,,,14.293,"1,35",44,,,"0,00",12/01/2021
2021-01-13,12,Galicia,56.080,,,,,37.745,"1,40","67,3",,,"0,00",13/01/2021
2021-01-13,17,La Rioja,8.840,,,,,4.651,"1,47","52,6",,,"0,00",12/01/2021
2021-01-13,13,Madrid,147.540,,,,,49.228,"0,73","33,4",,,"0,00",13/01/2021
2021-01-13,14,Murcia,38.360,,,,,19.905,"1,32","51,9",,,"0,00",13/01/2021
2021-01-13,15,Navarra,17.700,,,,,7.420,"1,13","41,9",,,"0,00",12/01/2021
2021-01-13,16,País Vasco,47.205,,,,,17.771,"0,81","37,6",,,"0,00",12/01/2021
2021-01-13,18,Ceuta,1.005,,,,,820,"0,98","81,6",,,"0,00",12/01/2021
2021-01-13,19,Melilla,1.005,,,,,1.005,"1,19",100,,,"0,00",12/01/2021
2021-01-13,00,España,1.103.700,,,,,581.638,"1,23","52,7",,,"0,00",
2021-01-14,01,Andalucía,209.520,6.800,,,216.320,123.459,"1,46","57,1",,,"0,00",13/01/2021
2021-01-14,02,Aragón,35.415,1.200,,,36.615,20.854,"1,57",57,,,"0,00",13/01/2021
2021-01-14,03,Asturias,35.420,1.200,,,36.620,29.074,"2,86","79,4",,,"0,00",14/01/2021
2021-01-14,04,Baleares,12.840,600,,,13.440,7.552,"0,62","56,2",,,"0,00",13/01/2021
2021-01-14,05,Canarias,41.310,1.300,,,42.610,25.159,"1,12",59,,,"0,00",13/01/2022
2021-01-14,06,Cantabria,17.700,500,,,18.200,12.779,"2,19","70,2",,,"0,00",14/01/2021
2021-01-14,07,Castilla y Leon,76.740,2.500,,,79.240,57.969,"2,42","73,2",,,"0,00",14/01/2021
2021-01-14,08,Castilla La Mancha,53.100,1.700,,,54.800,30.613,"1,50","55,9",,,"0,00",14/01/2021
2021-01-14,09,Cataluña,180.020,5.800,,,185.820,105.587,"1,38","56,8",,,"0,00",13/01/2021
2021-01-14,10,C. Valenciana,91.450,2.900,,,94.350,80.429,"1,60","85,2",,,"0,00",14/01/2021
2021-01-14,11,Extremadura,32.450,1.000,,,33.450,17.862,"1,69","53,4",,,"0,00",13/01/2021
2021-01-14,12,Galicia,56.080,1.800,,,57.880,44.014,"1,63",76,,,"0,00",14/01/2021
2021-01-14,17,La Rioja,8.840,200,,,9.040,5.385,"1,70","59,6",,,"0,00",13/01/2021
2021-01-14,13,Madrid,147.540,4.700,,,152.240,63.385,"0,94","41,6",,,"0,00",14/01/2021
2021-01-14,14,Murcia,38.360,1.200,,,39.560,21.739,"1,44",55,,,"0,00",14/01/2021
2021-01-14,15,Navarra,17.700,500,,,18.200,8.314,"1,27","45,7",,,"0,00",13/01/2021
2021-01-14,16,País Vasco,47.205,1.400,,,48.605,20.003,"0,91","41,2",,,"0,00",13/01/2021
2021-01-14,18,Ceuta,1.005,200,,,1.205,911,"1,08","75,6",,,"0,00",13/01/2021
2021-01-14,19,Melilla,1.005,200,,,1.205,1.098,"1,30","91,1",,,"0,00",14/01/2021
2021-01-14,00,España,1.103.700,35.700,,,1.139.400,676.186,"1,43","59,3",,,"0,00",
2021-01-15,01,Andalucía,209.520,6.800,,,216.320,139.718,"1,65","64,6",,,"0,00",14/01/2021
2021-01-15,02,Aragón,35.415,1.200,,,36.615,23.619,"1,77","64,5",,,"0,00",14/01/2021
2021-01-15,03,Asturias,35.420,1.200,,,36.620,31.247,"3,08","85,3",,,"0,00",15/01/2021
2021-01-15,04,Baleares,12.840,600,,,13.440,9.366,"0,77","69,7",,,"0,00",14/01/2021
2021-01-15,05,Canarias,41.310,1.300,,,42.610,30.732,"1,37","72,1",,,"0,00",15/01/2021
2021-01-15,06,Cantabria,17.700,500,,,18.200,14.639,"2,51","80,4",,,"0,00",15/01/2021
2021-01-15,07,Castilla y Leon,76.740,2.500,,,79.240,59.411,"2,48",75,,,"0,00",14/01/2021
2021-01-15,08,Castilla La Mancha,53.100,1.700,,,54.800,33.809,"1,65","61,7",,,"0,00",15/01/2021
2021-01-15,09,Cataluña,180.020,5.800,,,185.820,122.577,"1,60",66,,,"0,00",14/01/2021
2021-01-15,10,C. Valenciana,91.450,2.900,,,94.350,86.927,"1,73","92,1",,,"0,00",15/01/2021
2021-01-15,11,Extremadura,32.450,1.000,,,33.450,22.322,"2,11","66,7",,,"0,00",14/01/2021
2021-01-15,12,Galicia,56.080,1.800,,,57.880,49.768,"1,84",86,,,"0,00",15/01/2021
2021-01-15,17,La Rioja,8.840,200,,,9.040,5.953,"1,88","65,9",,,"0,00",14/01/2021
2021-01-15,13,Madrid,147.540,4.700,,,152.240,77.921,"1,15","51,2",,,"0,00",15/01/2021
2021-01-15,14,Murcia,38.360,1.200,,,39.560,27.001,"1,79","68,3",,,"0,00",15/01/2021
2021-01-15,15,Navarra,17.700,500,,,18.200,9.305,"1,42","51,1",,,"0,00",14/01/2021
2021-01-15,16,País Vasco,47.205,1.400,,,48.605,22.464,"1,03","46,2",,,"0,00",14/01/2021
2021-01-15,18,Ceuta,1.005,200,,,1.205,941,"1,12","78,1",,,"0,00",14/01/2021
2021-01-15,19,Melilla,1.005,200,,,1.205,1.230,"1,46","102,1",,,"0,00",14/01/2021
2021-01-15,00,España,1.103.700,35.700,,,1.139.400,768.950,"1,62","67,5",,,"0,00",
2021-01-18,01,Andalucía,209.520,6.800,,,216.320,151.404,"1,78",70,,533,"0,01",17/01/2021
2021-01-18,02,Aragón,35.415,1.200,,,36.615,25.133,"1,89","68,6",,0,"0,00",17/01/2021
2021-01-18,03,Asturias,35.420,1.200,,,36.620,33.572,"3,31","91,7",,202,"0,02",18/01/2021
2021-01-18,04,Baleares,16.740,600,,,17.340,13.750,"1,13","79,3",,155,"0,01",17/01/2021
2021-01-18,05,Canarias,41.310,1.300,,,42.610,42.113,"1,88","98,8",,327,"0,01",18/01/2021
2021-01-18,06,Cantabria,17.700,500,,,18.200,17.724,"3,04","97,4",,0,"0,00",16/01/2021
2021-01-18,07,Castilla y Leon,76.740,2.500,,,79.240,67.079,"2,81","84,7",,124,"0,01",17/01/2021
2021-01-18,08,Castilla La Mancha,53.100,1.700,,,54.800,38.321,"1,88","69,9",,0,"0,00",17/01/2021
2021-01-18,09,Cataluña,180.020,5.800,,,185.820,145.073,"1,90","78,1",,167,"0,00",17/01/2021
2021-01-18,10,C. Valenciana,91.450,2.900,,,94.350,93.695,"1,86","99,3",,152,"0,00",18/01/2021
2021-01-18,11,Extremadura,32.450,1.000,,,33.450,27.613,"2,61","82,6",,0,"0,00",17/01/2021
2021-01-18,12,Galicia,56.080,1.800,,,57.880,56.481,"2,09","97,6",,150,"0,01",18/01/2021
2021-01-18,17,La Rioja,8.840,200,,,9.040,7.761,"2,45","85,9",,0,"0,00",15/01/2021
2021-01-18,13,Madrid,147.540,4.700,,,152.240,104.490,"1,55","68,6",,476,"0,01",18/01/2021
2021-01-18,14,Murcia,38.360,1.200,,,39.560,34.103,"2,26","86,2",,0,"0,00",18/01/2021
2021-01-18,15,Navarra,17.700,500,,,18.200,11.834,"1,80",65,,0,"0,00",17/01/2021
2021-01-18,16,País Vasco,47.205,1.400,,,48.605,25.526,"1,17","52,5",,0,"0,00",17/01/2021
2021-01-18,18,Ceuta,1.005,200,,,1.205,981,"1,17","81,4",,29,"0,03",17/01/2021
2021-01-18,19,Melilla,1.005,200,,,1.205,1.289,"1,53",107,,0,"0,00",15/01/2021
2021-01-18,00,España,1.107.600,35.700,,,1.143.300,897.942,"1,90","78,5",,2.315,"0,00",
2021-01-19,01,Andalucía,209.520,6.800,,,216.320,164.820,"1,94","76,2",,1.773,"0,02",18/01/2021
2021-01-19,02,Aragón,35.415,1.200,,,36.615,28.316,"2,13","77,3",,250,"0,02",18/01/2021
2021-01-19,03,Asturias,35.420,1.200,,,36.620,34.293,"3,38","93,6",,1285,"0,13",19/01/2021
2021-01-19,04,Baleares,16.740,600,,,17.340,14.658,"1,21","84,5",,164,"0,01",18/01/2021
2021-01-19,05,Canarias,41.310,1.300,,,42.610,43.209,"1,93","101,4",,339,"0,02",19/01/2021
2021-01-19,06,Cantabria,17.700,500,,,18.200,18.967,"3,26","104,2",,0,"0,00",19/01/2021
2021-01-19,07,Castilla y Leon,76.740,2.500,,,79.240,70.885,"2,96","89,5",,432,"0,02",18/01/2021
2021-01-19,08,Castilla La Mancha,53.100,1.700,,,54.800,43.682,"2,14","79,7",,189,"0,01",18/01/2021
2021-01-19,09,Cataluña,180.020,5.800,,,185.820,156.627,"2,05","84,3",,432,"0,01",18/01/2021
2021-01-19,10,C. Valenciana,91.450,2.900,,,94.350,95.260,"1,89",101,,588,"0,01",19/01/2021
2021-01-19,11,Extremadura,32.450,1.000,,,33.450,29.125,"2,75","87,1",,254,"0,02",18/01/2021
2021-01-19,12,Galicia,56.080,1.800,,,57.880,57.871,"2,14","99,98",,1191,"0,04",19/01/2021
2021-01-19,17,La Rioja,8.840,200,,,9.040,8.049,"2,55",89,,44,"0,01",18/01/2021
2021-01-19,13,Madrid,147.540,4.700,,,152.240,120.168,"1,78","78,9",,719,"0,01",19/01/2021
2021-01-19,14,Murcia,38.360,1.200,,,39.560,36.730,"2,43","92,8",,934,"0,06",19/01/2021
2021-01-19,15,Navarra,17.700,500,,,18.200,12.991,"1,98","71,4",,299,"0,05",18/01/2021
2021-01-19,16,País Vasco,47.205,1.400,,,48.605,28.069,"1,28","57,7",,390,"0,02",18/01/2021
2021-01-19,18,Ceuta,1.005,200,,,1.205,1.080,"1,29","89,6",,29,"0,03",18/01/2021
2021-01-19,19,Melilla,1.005,200,,,1.205,1.297,"1,54","107,6",,29,"0,03",18/01/2021
2021-01-19,00,España,1.107.600,35.700,,,1.143.300,966.097,"2,04","84,5",,9.341,"0,02",
2021-01-20,01,Andalucía,244.620,6.800,,,251.420,174.279,"2,05","69,3",,4.568,"0,05",19/01/2021
2021-01-20,02,Aragón,41.265,1.200,,,42.465,33.734,"2,53","79,4",,623,"0,05",19/01/2021
2021-01-20,03,Asturias,44.195,1.200,,,45.395,36.054,"3,55","79,4",,1687,"0,17",19/01/2021
2021-01-20,04,Baleares,22.590,600,,,23.190,15.697,"1,29","67,7",,167,"0,01",19/01/2021
2021-01-20,05,Canarias,46.185,1.300,,,47.485,43.599,"1,94","91,8",,339,"0,02",20/01/2021
2021-01-20,06,Cantabria,20.625,500,,,21.125,19.473,"3,34","92,2",,0,"0,00",20/01/2021
2021-01-20,07,Castilla y Leon,93.315,2.500,,,95.815,74.350,"3,11","77,6",,633,"0,03",19/01/2021
2021-01-20,08,Castilla La Mancha,61.875,1.700,,,63.575,48.755,"2,39","76,7",,195,"0,01",19/01/2021
2021-01-20,09,Cataluña,211.220,5.800,,,217.020,162.830,"2,13",75,,913,"0,01",19/01/2021
2021-01-20,10,C. Valenciana,109.000,2.900,,,111.900,99.932,"1,98","89,3",,1737,"0,03",20/01/2021
2021-01-20,11,Extremadura,39.275,1.000,,,40.275,30.941,"2,92","76,8",,254,"0,02",19/01/2021
2021-01-20,12,Galicia,66.805,1.800,,,68.605,59.104,"2,19","86,2",,1197,"0,04",19/01/2021
2021-01-20,17,La Rioja,11.765,200,,,11.965,8.335,"2,64","69,7",,44,"0,01",19/01/2021
2021-01-20,13,Madrid,171.915,4.700,,,176.615,129.194,"1,91","73,2",,812,"0,01",19/01/2021
2021-01-20,14,Murcia,45.185,1.200,,,46.385,39.142,"2,59","84,4",,1522,"0,10",20/01/2021
2021-01-20,15,Navarra,20.625,500,,,21.125,14.559,"2,22","68,9",,503,"0,08",19/01/2021
2021-01-20,16,País Vasco,55.980,1.400,,,57.380,33.523,"1,53","58,4",,390,"0,02",19/01/2021
2021-01-20,18,Ceuta,1.980,200,,,2.180,1.110,"1,32","50,9",,29,"0,03",19/01/2021
2021-01-20,19,Melilla,1.980,200,,,2.180,1.326,"1,57","60,8",,29,"0,03",18/01/2021
2021-01-20,00,España,1.310.400,35.700,,,1.346.100,1.025.937,"2,17","76,2",,15.642,"0,03",
2021-01-21,01,Andalucía,244.620,6.800,,,251.420,194.101,"2,29","77,2",,15.193,"0,18",20/01/2021
2021-01-21,02,Aragón,41.265,1.200,,,42.465,38.170,"2,87","89,9",,1.731,"0,13",21/01/2021
2021-01-21,03,Asturias,44.195,1.200,,,45.395,40.011,"3,94","88,1",,5.664,"0,56",21/01/2021
2021-01-21,04,Baleares,22.590,600,,,23.190,18.105,"1,49","78,1",,1.514,"0,12",20/01/2021
2021-01-21,05,Canarias,46.185,1.300,,,47.485,45.482,"2,03","95,8",,1.744,"0,08",20/01/2021
2021-01-21,06,Cantabria,20.625,500,,,21.125,19.980,"3,43","94,6",,241,"0,04",20/01/2021
2021-01-21,07,Castilla y Leon,93.315,2.500,,,95.815,82.162,"3,44","85,8",,5.296,"0,22",20/01/2021
2021-01-21,08,Castilla La Mancha,61.875,1.700,,,63.575,53.880,"2,64","84,8",,1.202,"0,06",20/01/2021
2021-01-21,09,Cataluña,211.220,5.800,,,217.020,168.054,"2,20","77,4",,2.598,"0,03",20/01/2021
2021-01-21,10,C. Valenciana,109.000,2.900,,,111.900,101.437,"2,01","90,6",,2.956,"0,06",20/01/2021
2021-01-21,11,Extremadura,39.275,1.000,,,40.275,32.039,"3,02","79,6",,638,"0,06",20/01/2021
2021-01-21,12,Galicia,66.805,1.800,,,68.605,62.011,"2,30","90,4",,3.861,"0,14",20/01/2021
2021-01-21,17,La Rioja,11.765,200,,,11.965,8.684,"2,75","72,6",,267,"0,08",21/01/2021
2021-01-21,13,Madrid,171.915,4.700,,,176.615,142.765,"2,11","80,8",,1.738,"0,03",20/01/2021
2021-01-21,14,Murcia,45.185,1.200,,,46.385,40.757,"2,70","87,9",,1.784,"0,12",21/01/2021
2021-01-21,15,Navarra,20.625,500,,,21.125,15.754,"2,40","74,6",,767,"0,12",20/01/2021
2021-01-21,16,País Vasco,55.980,1.400,,,57.380,36.864,"1,68","64,2",,1.333,"0,06",20/01/2021
2021-01-21,18,Ceuta,1.980,200,,,2.180,1.545,"1,84","70,9",,326,"0,39",20/01/2021
2021-01-21,19,Melilla,1.980,200,,,2.180,1.500,"1,78","68,8",,203,"0,24",20/01/2021
2021-01-21,00,España,1.310.400,35.700,,,1.346.100,1.103.301,"2,33",82,,49.056,"0,10",
2021-01-22,01,Andalucía,244.620,6.800,,,251.420,209.766,"2,47","83,4",,20.846,"0,25",21/01/2021
