,total_primera_ronda,total_porcentaje_primera_ronda,total_IC_95%_minimo_primera_ronda,total_IC_95%_maximo_primera_ronda,total_segunda_ronda,total_porcentaje_segunda_ronda,total_IC_95%_minimo_segunda_ronda,total_IC_95%_maximo_segunda_ronda,total_tercera_ronda,total_porcentaje_tercera_ronda,total_IC_95%_minimo_tercera_ronda,total_IC_95%_maximo_tercera_ronda
Málaga,1463,"4,0","2,6","5,9",1453,"3,5","2,4","5,1",1343,"3,6","2,4","5,3"
Murcia,1391,"1,4","0,8","2,4",1602,"1,6","1,0","2,5",1504,"1,6","1,0","2,7"
Navarra,1744,"5,7","4,3","7,5",1756,"6,3","4,8","8,2",1697,"6,6","5,1","8,5"
Ourense,686,"2,9","1,9","4,5",750,"2,2","1,4","3,5",748,"2,5","1,4","4,4"
Principado Asturias,1550,"1,9","1,3","2,8",1712,"1,6","1,1","2,3",1703,"1,9","1,3","2,6"
Palencia,740,"8,0","4,7","13,2",767,"8,2","6,1","11,0",783,"6,6","4,7","9,1"
"Palmas, Las",1244,"1,9","1,2","2,9",1478,"2,1","1,4","3,1",1400,"2,2","1,4","3,4"
Pontevedra,1296,"2,2","1,7","3,0",1216,"2,0","1,3","3,2",1150,"2,1","1,4","3,1"
Salamanca,809,"7,5","5,2","10,7",858,"8,3","5,9","11,5",836,"9,5","6,8","13,2"
Santa Cruz Tenerife,1124,"2,7","1,2","6,0",1227,"3,2","1,7","6,0",1193,"2,4","1,2","4,6"
Cantabria,1504,"3,6","2,3","5,7",1661,"3,2","2,1","4,7",1670,"3,7","2,5","5,4"
Segovia,548,"11,8","8,9","15,4",721,"12,6","9,5","16,5",705,"12,4","9,2","16,5"
Sevilla,1805,"2,3","1,5","3,3",1784,"2,7","1,9","3,8",1697,"2,7","1,8","3,9"
Soria,707,"14,4","11,6","17,8",720,"14,6","12,0","17,8",713,"14,4","11,6","17,8"
Tarragona,1012,"1,4","0,8","2,4",992,"1,6","1,0","2,6",946,"1,5","0,8","2,6"
Teruel,688,"3,3","1,7","6,2",671,"3,5","2,2","5,5",647,"4,9","3,1","7,5"
Toledo,1179,"8,9","5,4","14,4",1198,"8,8","5,4","13,9",1099,"8,6","5,0","14,6"
Valencia/Valéncia,1913,"2,1","1,4","3,3",2007,"2,1","1,5","3,0",1987,"2,0","1,3","3,0"
Valladolid,1084,"5,9","3,9","8,6",1082,"7,2","4,9","10,5",1060,"7,4","5,0","10,9"
Bizkaia,1195,"4,0","2,6","6,0",1247,"3,8","2,4","5,7",1277,"3,6","2,5","5,2"
Zamora,651,"6,8","4,1","11,2",662,"6,2","4,1","9,3",678,"7,3","4,3","12,1"
Zaragoza,1331,"4,9","3,6","6,6",1299,"5,2","3,9","6,9",1289,"4,7","3,4","6,5"
Ceuta,838,"1,2","0,6","2,3",904,"0,5","0,1","8,8",906,"0,7","0,3","1,8"
Melilla,927,"1,8","1,2","2,8",926,"3,2","2,2","4,6",907,"3,4","2,3","5,1"
