NOMBRE,REFERENCIA,DIRECCION,PROVINCIA,CIUDAD,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO
INTURASA SANTIAGO,21,"VIA CIERVA, 7-9 - POLIGONO DEL TAMBRE",A Coruña,Santiago de Compostela,"42,917563","-8,527181",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-13:30; 15:30-18:30,981557723
MAQUINARIA AGRICOLA DEL NOROESTE,22,"CALLE PARROQUIA DE BABIO, SECTOR 1C, NAVE 3 - POLIGONO DE BERGONDO",A Coruña,Bergondo,"43,309466","-8,262414",Taller de Vehículo Industrial abierto para casos de urgencia ,L-v: 08:00 - 15:00,981795858
MAQUINARIA AGRICOLA DEL NOROESTE,23,"VIA ISAAC PERAL, 21 - POLIGONO DEL TAMBRE",A Coruña,Santiago de Compostela,"42,912086","-8,508181",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00 - 21:00,981580099
MAQUINARIA AGRICOLA DEL NOROESTE,24,"PARQUE EMPRESARIAL DE SANTA COMBA, PARCELA 17",A Coruña,Santa Comba,"43,027891","-8,792151",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-21:30,981881453
"JEPOMAR, SL",25,"CALLE VAZQUEZ DE PARGA, 168",A Coruña,Carballo,"43,2201593","-8,6887302",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:00,981701723
"NOVO CAMION &BUS, SL",26,"CARRETERA NACIONAL VI, KM 585 - IÑAS",A Coruña,Oleiros,"43,320604","-8,315223",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-19:00,981610308
"VAYPER AUTOMOCION, SLU",27,"VIA PASTEUR, 48 - POLIGONO DEL TAMBRE",A Coruña,Santiago de Compostela,"42,9138261","-8,5290777",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-20:30,981937349
"TALLERES ILICITANA DE CAMIONES. S,C",28,"C/ FÉLIX RODRÍGUEZ DE LA FUENTE, N26",Alicante_Alacant,Elche/elx,"38,2907328","-0,6176439",Taller de Vehículo Industrial abierto para casos de urgencia ,DE LUNES A VIERNE DE 8:30 A 17:30H  SABADO DE 8:30 A 12:00,660390014966665763
TALLERES EMILIO SL,29,"AVDA LEVANTE KM 52,5",Alicante_Alacant,Villena,"38,6142194","-0,8488084",Taller de Vehículo Industrial abierto para casos de urgencia ,L-D 24 HORAS-365,649948490
CORTIJO SANCHEZ,30,"CTRA. MURCIA-ALICANTE, KM. 28",Alicante_Alacant,Alicante/alacant,"38,1252612","-0,9344347",,9:00 a 19:00,966736854
ANTONIO VAÑO PARRA,31,AVDA. EL TREN 19,Alicante_Alacant,Banyeres de Mariola,"38,7226392","-0,6706456",SERVICIOS MINIMOS,8:00 -- 14:00  ----  16:00 -- 19:00,966567476
ALICANTINA DE CAMIONES,32,"Pol. Ind. Plá de la Vallonga . C/ Aurora Boreal, 19",Alicante_Alacant,Alicante/alacant,"38,3508511","-0,551208","Reparación y Mantenimiento de Vehículos Industriales.  
• Diagnosis de sistemas electrónicos.
• Reparación de remolques.
• Chapa y pintura.
• Montaje e Instalación de Accesorios, Climatizadores , etc.
• Venta de Repuestos y Accesorios.
• Aire acondicionado.
• Frenómetro.
",Lunes-Viernes de 08:00 a 14:00 y de 16:00 a 20:00    Sábado de 08:30 a 14,965 10 71 68     965 10 76 30 
LAMBERET VEHÍCULOS FRIGORÍFICOS,33,POL IND PUENTE ALTO C7 B Nº 2,Alicante_Alacant,Orihuela,"38,1139814","-0,9433496","TALLER DE SEMIRREMOLQUES: EJES FRENOS, CARROCERÍA GRUPOS FRIGORÍFICOS ",08:00 A 20:00,619279285
"SAIPA MOTOR, S.L.",34,"Avinguda Comarques del País Valencia, 100, Ctra. Nacional III, 8, Km 331, 46930 Quart de Poblet, Valencia",Valencia_València,Quart de Poblet,"39,472654","-0,5046171",,8:30-13:30 / 15:30 – 19:00,961920945
"TALLER ELECTROMECANICO ANTONIO MURCIA,S.L.",35,"AVDA, DEL SEGURA, Nº80",Alicante_Alacant,Benejúzar,"38,0825303","-0,8410981",,09:00 A 14:00 Y 16:00 A 19:00,965356337
"TALLER DE REPARACION ROMERO, S.L. (TALLERES ROMERO)",36,"POL.IND. L´ALBERCA, C/ BENIDORM, 2",Alicante_Alacant,La Nucía,"38,6024831","-0,1328074",,8:00 H. A 16:00 H. ININTIRRUMPIDAMENTE,965870339
LEAL Y LEAL S.L.,37,"P.I. 1 C/ AVDA. BELGICA, 42-46",Alicante_Alacant,Castalla,"38,6035601","-0,6723982",,"8’30 h a 13’30 h y  15’30 h a 20’00 h ( Por motivos de COVID-19, consultar horario)",966560704
"LOGISTICA DE VEHICULOS VEGA BAJA,S.L",38,CARRETERA COX-CALLOSA KM2 03350 COX ALICANTE,Alicante_Alacant,Cox,"38,1356522","-0,8847124",ESPECIALISTAS EN MECANICA Y MANTENIMIENTO VEHICULOS INDUSTRIALES,9.00-14.00   16.00-19.00H,965360610
TALLERES RIPASA,39,REJUELA MS-18,Alicante_Alacant,Monóvar/monòver,"38,428151","-0,8399267",,8H.-13    15h-19h ,96 696 08 83
CACER MOTOR SLU,40,"P.  CACHAPET, 233 ",Alicante_Alacant,Crevillent,"38,24948","-0,8120287",,Mañanas de 9:00 a 14:00 y Tardes de 16:00 a 20:00,966681142669 96 64 86
TALLERES ANTOMAR,41,P. I. Pla Vallonga - Alicante,Alicante_Alacant,Alicante/alacant,"38,3511837","-0,5483533","Durante el periodo de alarma, estaremos prestando servicio sólo por las mañanas",8:30 - 14:00 (actualmente sólo servicio por las mañanas),667 831 856
GREMIS AUTOMOCIÓN,42,"C/ Els Gremis, 23",Alicante_Alacant,Teulada,"38,7290542","0,0902451","Lo que podemos ofrecer a los vehículos industriales son LATIGUILLOS, BATERIAS, BOMBILLAS, NEUMÁTICOS, así como ponemos a su disposición el baño y la ducha. ",De 8'30 a 13'30  y de 15 a 19  ,965740794 629 66 84 51
TALLER  SERVIDAUTO S.L.,43,DIRECCION PTDA CAP BLANC 39,Alicante_Alacant,Altea,"38,5858022","-0,0668076",,HORARIO DE 9 A 13H DE LUNES A VIERNES(SERVICIO DE URGENCIA),065840732
"A.G.F., S.L",44,Calle Juan de la Cierva 11. Pol Ind La Pedrera,Alicante_Alacant,Benissa,"38,7267988","-0,0739208",,8:30 a 13:00,679 99 86 58
TALLER JUMASUR,45,"C/ JUAN DE LA CIERVA, 20.",Almería,El Ejido,"36,761312","-2,798408",Taller de Vehículo Industrial abierto para casos de urgencia ,8 a 14 horas,950572385
"AUTOMÓVILES ROBE, S.L.",46,"CTRA. SIERRA ALHAMILLA, NAVE 7-8",Almería,Almería,"36,83781","-2,444683",Taller de Vehículo Industrial abierto para casos de urgencia ,"08:30 horas a 13.30 horas.
16:00 horas a 19.30 horas.",950277422
TALLER DDM,47,"CAMINO DE LAS SALINAS, NAVE 5",Almería,Roquetas de Mar,"36,785776","-2,605545",Taller de Vehículo Industrial abierto para casos de urgencia ,8 a 16 horas,950327878
TALLER AM MOTOR,48,"C/ NEPAL, 3",Almería,Almería,"36,840618","-2,41497",Taller de Vehículo Industrial abierto para casos de urgencia ,08:30 horas a 14:00 horas. 16:00 horas a 18:30 horas.,950104177
ELECTROMECANICA FAMACARS,49,"C/ ANGELINA, 2 (POL. IND. SAN RAFAEL)",Almería,Huécija,"36,865893","-2,438469",Taller de Vehículo Industrial abierto para casos de urgencia ,08:30 horas a 13:00 horas. 15:30 horas a 18:30 horas.,950140541
ROMAN SP GARAS,50,"AVDA. BULEVAR DE VICAR, 727.",Almería,Vícar,"36,804215","-2,623661",Taller de Vehículo Industrial abierto para casos de urgencia ,08:00 horas a 17 horas.,606159294
"CERVISIMAG, S.L. (Adr Service)",51,"Carrer dels Capellans, 1",Barcelona,Montornès del Vallès,"41,5655595","-2,273087",Taller de Vehículo Industrial abierto para casos de urgencia ,de  07:00 a 18:00,600055640
"CERVISIMAG, S.L. (Alltrucks)",52,"Av. Poligon Industrial, 28",Lleida,Cervera,"41,6749155","-1,2670099",Taller de Vehículo Industrial abierto para casos de urgencia ,de 08:00 a 18:00,973530418
Talleres FELIX,53," Calzadas, 23",Burgos,Burgos,"42,3442103","-3,6933488",Taller de Vehículo Industrial abierto para casos de urgencia ,9-14 y 16-19 h.,947271341
MOVIELCA ARANDA S.L.,54,"Luis Mateos, 108",Burgos,Aranda de Duero,"41,6650582","-3,7104507",Taller de Vehículo Industrial abierto para casos de urgencia ,9-14 y 16-19 h.,947508140
Talleres BPR,55,"Pedernales, 40",Burgos,Villagonzalo Pedernales,"42,2995447","-3,7064891",Taller de Vehículo Industrial abierto para casos de urgencia ,"L-V 9-14h y 16-20:30H, S 9-14H",947203542609426494
Neumaticos JAYVER S.L.,56,"Rio Esgueva, 14 (pol. Ind El Clavillo)",Burgos,Villariezo,"42,2841302","-3,7173159",Taller de Vehículo Industrial abierto para casos de urgencia ,9-13:30 y 16-19:30 h,683383022
Neumaticos JAYVER S.L.,57,"Mujer Trabajadora, 2",Burgos,Burgos,"42,3617553","-3,6446913",Taller de Vehículo Industrial abierto para casos de urgencia ,9-13:30 y 16-19:30 h,683383022947469841
Talleres Electro Sanz SL,58,"Povoa, 19",Burgos,Aranda de Duero,"41,6692318","-3,7119285",Taller de Vehículo Industrial abierto para casos de urgencia ,9-14 y 16-19 h.,947513038947546497
Auto Electricidad Tobar SL,59,"Aduana, nave 16",Burgos,Burgos,"42,3642641","-3,6248043",Taller de Vehículo Industrial abierto para casos de urgencia ,9-14 y 16-20 h.,947485577
Talleres MARTIN,60,Carretera Nal 1 Km 171,Burgos,Gumiel de Izán,"41,7790848","-3,6977148",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V de 9-14 h y 16-19 h. S 9-14 h.,947525737
REBUR S.L.,61,"Paramo, naves Controles, 1 nave 17",Burgos,Burgos,"42,3483669","-3,6526513",Taller de Vehículo Industrial abierto para casos de urgencia ,9-13:30 y 16-19:30 h.,947483544
Talleres ASENJO S.L.,62,"Juan Ramon Jiménez, pentasa 3 nave 240",Burgos,Burgos,"42,3510816","-3,662543",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 - 13:30  y 15:30 - 20 h.,652928390  947481873
Talleres Fernando Velasco,63,"Carretera Tamayo, 9",Burgos,Oña,"42,734868","-3,4211017",Taller de Vehículo Industrial abierto para casos de urgencia ,9 - 14 h y 16 - 19 h.,658910181  947300044
ADUANA TRUCKS S.L.,64,"Vitoria 286, centro Ttes. Aduana, nave 18",Burgos,Burgos,"42,3625872","-3,6309341",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V de 8:30 - 13:30h   S de 9 - 13 h,683491440  947319628
Talleres de la Puente S.A.,65,"Carretera Madrid-Irun km 154,6",Burgos,Fuentespina,"41,6377157","-3,6927951",Taller de Vehículo Industrial abierto para casos de urgencia ,9 - 14 h  y  16 - 18:45 h,636976818  947500363
"AUTOBUR, S.L.",66,"AVDA. 16 DE JULIO, 3",Castellón_Castelló,Borriana/burriana,"39,8916875","-0,0831262",DOMINGOS Y FESTIVOS ASISTENCIA TELEFONICA ,L-V 8H-15H30-15H30-19H,610 198 634
MOTORJERICA S.L,67,CR. SAGUNTO-BURGOS KM42,Castellón_Castelló,Jérica,"39,911509","-0,561266",Taller de Vehículo Industrial abierto para casos de urgencia ,LV:9H-14H 16H-19H30,964129189
SA DE TRACCION,68,AVDA VALENCIA 223,Castellón_Castelló,Castelló de la Plana,"39,9618698","-0,0646107",Taller de Vehículo Industrial abierto para casos de urgencia. Concesionario NISSAN,L-V 8H:30-13H:30,964253400
AUTOMOVILES ANDRES S.L.,69,"BARON DE ALCAHALI, 67",Castellón_Castelló,Alcalà de Xivert,"40,3059612","-0,0914778",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V :9H-13H/15H-19H,964410210
DM REFRIGERACION TRANSPORTE S.L.,70,CAMI LA TRAVESSA  11,Castellón_Castelló,Vila-real,"39,9458231","-0,0914778",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V:8H-13H30-15H-18H,964523332
"AUTOCAS, S.A.",71,"GRECIA,33",Castellón_Castelló,Castelló de la Plana,"39,9787184","-0,0785724",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V:08H30-13H-15H30-19H,964222200
TALLERES LA CACHILA,72,Carretera Santander 106-Colloto,Asturias,Oviedo,"43,3779153","-5,7970206",Taller de Vehículo Industrial abierto para casos de urgencia ,9:30 a 13:00 y de 15:30 a 18:00 horas,984111683
CYASA – COMERCIO Y ASISTENCIA S.A,73,C/CERDEÑO 41 (33010),Asturias,Oviedo,"43,3724843","-5,816201",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 – 16:30 ININTERRUMPIDO,985285500
CYASA – COMERCIO Y ASISTENCIA S.A LEÓN,74,"CARRETERA LEÓN – ASTORGA KM 4,5",León,San Andrés del Rabanedo,"42,5879808","-5,6238038",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 – 16:30 ININTERRUMPIDO,985285500
"Artedo Motor, SL",75,Cerdeño 39,Asturias,Oviedo,"43,3720993","-5,8175218",Taller de Vehículo Industrial abierto para casos de urgencia ,8:00 a 16:00 horario especial estado alarma,663083626
TALLERES LOREDO S.L.,76,C/ PAULINA CANGA 1- NAVE 4,Asturias,Gijón,"43,5331119","-5,7055907",Taller de Vehículo Industrial abierto para casos de urgencia ,MAÑANAS L-V 08:00h - 13:00h            TARDES L-J 15:00h - 18-00h,638031979
Talleres Cabal y González S.L.,77,"Polígono de Naón, carretera de la estación, s/n",Asturias,Siero,"43,3909797","-5,8016139",Taller de Vehículo Industrial abierto para casos de urgencia ,8:00h. a 15:30h.,985264298
ASMECA,78,ALEJANDRO GOICOECHEA ORIOL Nº 44 – PG MORA GARAY – 33211 - TREMAÑES,Asturias,Gijón,"43,5304814","-5,691272",Taller de Vehículo Industrial abierto para casos de urgencia ,DE 8.30 A 13.00 Y DE 14.30 A 17.30 DE LUNES A VIERNES,985 311 011
MODIESEL PRINCIPADO 2000 S.L.,79,C/ Eratóstenes 114 – Polg. Porceyo,Asturias,Gijón,"43,5001375","-5,7048662",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13:00 y 15:30 a 19:00,985 36 61 37 
TALLERES ABEL RUBIO,80,"CARRETERA NACIONAL 634, KM485 (BRIEVES)",Asturias,Valdés,"43,3628389","-5,8458112",Taller de Vehículo Industrial abierto para casos de urgencia , 09:00 A 13:00 Y 15:00 A 19:00, 985477297 Y 608780161
VULCANIZADOS AVILÉS S.L.,81,"Parque Empresarial Ppdo. de Asturias, Avda. del Aluminio, P11",Asturias,Avilés,"43,5551414","-5,9233111",Taller de Vehículo Industrial abierto para casos de urgencia ,"De L a V de 9 a 13 h. y de 15 a 19 h / Sábados de 9,30 a 13,00",985540528
VEHICULOS INDUSTRIALES DE AVILES S.A.,82,"TRAVESIA DE LA INDUSTRIA Nº 23 ,P.I. AROBIAS 33401",Asturias,Avilés,"43,576614","-5,9295067",Taller de Vehículo Industrial abierto para casos de urgencia , 09:00 A 13:00 Y 15:00 A 18:30,985 56 66 46
BALDAJOS TABAZA,83,"Polígono Industrial La Granda, Ctra. AS-110, km 7",Asturias,Carreño,"43,5466629","-5,8361509",Taller de Vehículo Industrial abierto para casos de urgencia ,Horario: 9-20hr servicio de urgencias 24hr: 629820357,985 57 70 80
BALDAJOS BANKUNION,84,"Polígono Bankunión I, C/ Camino del Melón, Nº 27",Asturias,Gijón,"43,5336309","-5,6982615",Taller de Vehículo Industrial abierto para casos de urgencia ,9-20hr servicio de urgencias 24hr: 626479652,985 32 24 55
BALDAJOS IRÚN,85,"Avenida Letxumborro Hiribidea, Nº 90",Gipuzkoa,Irun,"43,3344362","-1,8185483",Taller de Vehículo Industrial abierto para casos de urgencia ,De 9:00 a 13:00 h. y de  15:00 a  19:00 h. Servicio 24hr: 648411518,943 61 64 57
BALDAJOS ZARAGOZA,86,"Avenida Alcalde Caballero, Nº 50",Zaragoza,Zaragoza,"41,6704277","-0,8623075",Taller de Vehículo Industrial abierto para casos de urgencia ,8:30 a 13 y de 15:30 a 18:30: Urgencias 24hr: 649333874,976 47 22 50
BALDAJOS SALAMANCA,87,"C/ Nobel, 1 Poligono Industrial El Montalvo. 37008",Salamanca,Salamanca,"40,9422778","-5,6704339",Taller de Vehículo Industrial abierto para casos de urgencia ,09:00 A 13:30   Y 16:00 A 19:30,923190356
BALDAJOS VIC,88,"Polígono Mas Galí, Carrer Savassona",Barcelona,Gurb,"41,9415819","2,2452252",Taller de Vehículo Industrial abierto para casos de urgencia ,09:00 A 13:00   Y 15:00 A 19:00, 938 86 60 80
Electromecánica Selbim.C.B.,89,"Avda. Oviedo,51",Asturias,Cangas del Narcea,"43,18402","-6,5465097",Taller de Vehículo Industrial abierto para casos de urgencia ,de lunes a viernes de 9:00 a 13:00 y de 15:00 a 19:00.,985811239  689289885
TALLERES CAVEDA C.B.,90,C/ Caveda Nº 11 - Bajo - CP 33211,Asturias,Gijón,"43,5356414","-5,6645577",Taller de Vehículo Industrial abierto para casos de urgencia , 9h - 13h y de 15h a 19h,985146757  681039951
"COOPERTATIVA MECANICA FABRICADOS, SCL  (COMEFA)",91,CTRA. RIBADESELLA-CANERO KM 85,Asturias,Carreño,"43,538466","-5,8373935",Taller de Vehículo Industrial abierto para casos de urgencia ,LUNES A VIERNES: 9:00-13:30  Y  14:30  A 17:30,985579803 
CARROCERIAS GRANADA SA,92,CARRETERA DE CORDOBA KM 429,Granada,Atarfe,"37,211582","-3,679184",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 7H A 15H,958436608
VEIMPA MOTOR SL,93,POLG. IND. LA ROSA C/NAVEGACION Nº 2,Granada,Chauchina,"37,192663","-3,777766",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 7H A 15H,958446997
MOTORDOS 2020 EM SAU,94,AVD. ANDALUCIA S/N,Granada,Granada,"37,198046","-3,634308",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8H A 16H,958805620
COMERCIAL DEL AUTOCAR SL,95,POLG. IND. DE ASEGRA . AVD. ANDALUCIA 29,Granada,Peligros,"37,225408","-3,627981",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 9H A 14H ,958405020
MAJUMA MOTOR SL,96,CAMINO PATRIA S/N,Granada,Motril,"36,72656","-3,542085",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 8H A 15H,958822810
"TALLERES FERNÁNDEZ UTERGA, S.L.",97,"C/ Maracaibo, 25",Barcelona,Barcelona,"41,4423402","2,2038485",Taller de Vehículo Industrial abierto para casos de urgencia. Llamar siempre antes a Sergio Fernández,8H30-14H00 y 15H00-19H00,608834519
RTS (R. TRUCK SERVICE),98,"Av. Industria, 15",Barcelona,Abrera,"41,519023","1,8948455",Taller de Vehículo Industrial abierto para casos de urgencia,8H00-19H00,635384535
"NEU-MEC ZONA 2, S.L.",99,"C/ Pous, 24 - Pol. Ind. Cidesa",Barcelona,Sant Andreu de la Barca,"41,4536771","1,9720798",Taller de Vehículo Industrial abierto para casos de urgencia,8H30-13H30 y 15H00-19H00,686534526
EFICAR MOTOR,100,"Ctra. Llarga, 10",Barcelona,Calaf,"41,7322633","1,5079568",Taller de Vehículo Industrial abierto para casos de urgencia. Servicio de urgencia de neumáticos para V.I. en taller y asistencia 24h.,24H00,615235383
TALLERS ANOIA,101,"Av. Comte de Llobregat, 30",Barcelona,Martorell,"41,4857769","1,9136952",Taller de Vehículo Industrial abierto para casos de urgencia,9H00-13H00 y 15H00-19H00,670431140
COVESA BADALONA,102,"C/ Ceràmica, 15",Barcelona,Badalona,"41,4599516","2,2529611",Taller de Vehículo Industrial abierto para casos de urgencia. Se puede llamar al 619.04.45.15 de L-D de 8h-20h.,8H00-16H00,934970333
COVESA MATARÓ,103,"Av. Maresme, 93-99",Barcelona,Mataró,"41,5311538","2,4407129",Taller de Vehículo Industrial abierto para casos de urgencia. Se puede llamar al 619.04.45.15 de L-D de 8h-20h.,8H00-16H00,937579954
COVESA TERRASSA,104,"Ctra. de Montcada, 606",Barcelona,Terrassa,"41,5581389","2,0304056",Taller de Vehículo Industrial abierto para casos de urgencia. Se puede llamar al 619.04.45.15 de L-D de 8h-20h.,8H00-16H00,619044515
COVESA MOLLET,105,"Av. Rabassaires, 32",Barcelona,Mollet del Vallès,"41,5403781","2,2221997",Taller de Vehículo Industrial abierto para casos de urgencia. Se puede llamar al 619.04.45.15 de L-D de 8h-20h.,8H00-16H00,935796500
COVESA BLANES,106,"Ctra. Accés a la Costa Brava, 138",Girona,Blanes,"41,6786858","2,7768394",Taller de Vehículo Industrial abierto para casos de urgencia. Se puede llamar al 619.04.45.15 de L-D de 8h-20h.,8H00-16H00,972353275
COVESA GIRONA,107,"Ctra. N-II, 10",Girona,Fornells de la Selva,"41,9322831","2,7958795",Taller de Vehículo Industrial abierto para casos de urgencia. Se puede llamar al 619.04.45.15 de L-D de 8h-20h.,8H00-16H00,972476017
MOLLET RODA,108,"Av. Can Magarola, 17 - Pol. Ind. Can Magarola",Barcelona,Mollet del Vallès,"41,5497718","2,2265006","Taller de Vehículo Industrial abierto para casos de urgencia. Neumáticos agrícola, industrial, camión, furgones, moto y turismos",9H00-13H00 y 16H00-19H00,935793858
"JUSTO Y ESTHER LUPIAÑEZ, S.L.U.",109,"C/ Òptica, 13, Naves 5 y 6",Barcelona,Castellbisbal,"41,4562804","1,9975316",Taller de Vehículo Industrial abierto para casos de urgencia,8H00-13H30 y 15H00-18H30,937722204
"TALLERES AUTOLICA, S.A.",110,"Camí de Palou, 4 - Pol. Ind. Congost",Barcelona,Montornès del Vallès,"41,5692866","2,2762299",Taller de Vehículo Industrial abierto para casos de urgencia,7H00-14H00,932234730
"TALLERES AUTOLICA, S.A.",111,"C/ 1, 11-13 - Pol. Ind. Zona Franca",Barcelona,Barcelona,"41,3451454","2,1393504",Taller de Vehículo Industrial abierto para casos de urgencia,7H00-14H00,932234730
"TALLERES AUTOLICA, S.A.",112,"C/ Neptú, 28 - Pol. Ind. Can Parellada",Barcelona,Terrassa,"41,5385062","1,999511",Taller de Vehículo Industrial abierto para casos de urgencia. Este centro dispone de sala de descanso (no se puede pernoctar),7H00-14H00,932234730
AUTO TALLER DS-CAR,113,"C/ Armenteres, 80, Nave 5",Barcelona,Sant Feliu de Llobregat,"41,3753484","2,0433933",Taller de Vehículo Industrial abierto para casos de urgencia. Es necesario contactar primero por teléfono,9H30-14H00 y 15H30-20H00,640614085
