Fecha,cod_ine,CCAA,Casos,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos
2020-02-22,07,Castilla y León,,0,,,,
2020-02-22,09,Cataluña,,0,,,,
2020-02-22,18,Ceuta,,0,,,,
2020-02-22,10,C. Valenciana,,0,,33,1,
2020-02-22,11,Extremadura,,0,,,,
2020-02-22,12,Galicia,,0,,,,
2020-02-22,13,Madrid,,1,,,,
2020-02-22,19,Melilla,,0,,,,
2020-02-22,14,Murcia,,0,,,,
2020-02-22,15,Navarra,,0,,,,
2020-02-22,16,País Vasco,,0,,,,
2020-02-22,17,La Rioja,,0,,,,
2020-02-23,01,Andalucía,,0,,,,
2020-02-23,02,Aragón,,0,,,,
2020-02-23,03,Asturias,,0,,,,
2020-02-23,04,Baleares,,1,,,,
2020-02-23,05,Canarias,,1,,,,
2020-02-23,06,Cantabria,,0,,,,
2020-02-23,08,Castilla La Mancha,,0,,,,
2020-02-23,07,Castilla y León,,0,,,,
2020-02-23,09,Cataluña,,0,,,,
2020-02-23,18,Ceuta,,0,,,,
2020-02-23,10,C. Valenciana,,0,,38,2,
2020-02-23,11,Extremadura,,0,,,,
2020-02-23,12,Galicia,,0,,,,
2020-02-23,13,Madrid,,1,,,,
2020-02-23,19,Melilla,,0,,,,
2020-02-23,14,Murcia,,0,,,,
2020-02-23,15,Navarra,,0,,,,
2020-02-23,16,País Vasco,,0,,,,
2020-02-23,17,La Rioja,,0,,,,
2020-02-24,01,Andalucía,,0,,,,
2020-02-24,02,Aragón,,0,,,,
2020-02-24,03,Asturias,,0,,,,
2020-02-24,04,Baleares,,1,,,,
2020-02-24,05,Canarias,,2,,,,
2020-02-24,06,Cantabria,,0,,,,
2020-02-24,08,Castilla La Mancha,,0,,,,
2020-02-24,07,Castilla y León,,0,,,,
2020-02-24,09,Cataluña,,0,,,,
2020-02-24,18,Ceuta,,0,,,,
2020-02-24,10,C. Valenciana,,0,,49,2,
2020-02-24,11,Extremadura,,0,,,,
2020-02-24,12,Galicia,,0,,,,
2020-02-24,13,Madrid,,1,,,,
2020-02-24,19,Melilla,,0,,,,
2020-02-24,14,Murcia,,0,,,,
2020-02-24,15,Navarra,,0,,,,
2020-02-24,16,País Vasco,,0,,,,
2020-02-24,17,La Rioja,,0,,,,
2020-02-25,01,Andalucía,,0,,,,
2020-02-25,02,Aragón,,0,,,,
2020-02-25,03,Asturias,,0,,,,
2020-02-25,04,Baleares,,1,,,,
2020-02-25,05,Canarias,,5,,,,
2020-02-25,06,Cantabria,,0,,,,
2020-02-25,08,Castilla La Mancha,,0,,,,
2020-02-25,07,Castilla y León,,0,,,,
2020-02-25,09,Cataluña,,1,,,,
2020-02-25,18,Ceuta,,0,,,,
2020-02-25,10,C. Valenciana,,1,,58,2,
2020-02-25,11,Extremadura,,0,,,,
2020-02-25,12,Galicia,,0,,,,
2020-02-25,13,Madrid,,2,,,,
2020-02-25,19,Melilla,,0,,,,
2020-02-25,14,Murcia,,0,,,,
2020-02-25,15,Navarra,,0,,,,
2020-02-25,16,País Vasco,,0,,,,
2020-02-25,17,La Rioja,,0,,,,
2020-02-26,01,Andalucía,,1,,,,
2020-02-26,02,Aragón,,0,,,,
2020-02-26,03,Asturias,,0,,,,
2020-02-26,04,Baleares,,1,,,,
2020-02-26,05,Canarias,,6,,,,
2020-02-26,06,Cantabria,,0,,,,
2020-02-26,08,Castilla La Mancha,,0,,,,
2020-02-26,07,Castilla y León,,0,,,,
2020-02-26,09,Cataluña,,2,,,,
2020-02-26,18,Ceuta,,0,,,,
2020-02-26,10,C. Valenciana,,2,,63,3,
2020-02-26,11,Extremadura,,0,,,,
2020-02-26,12,Galicia,,0,,,,
2020-02-26,13,Madrid,,6,,,,
2020-02-26,19,Melilla,,0,,,,
2020-02-26,14,Murcia,,0,,,,
2020-02-26,15,Navarra,,0,,,,
2020-02-26,16,País Vasco,,0,,,,
2020-02-26,17,La Rioja,,0,,,,
2020-02-27,01,Andalucía,,6,,,,
2020-02-27,02,Aragón,,0,,,,
2020-02-27,03,Asturias,,0,,,,
2020-02-27,04,Baleares,,1,,,,
2020-02-27,05,Canarias,,6,,,,
2020-02-27,06,Cantabria,,0,,,,
2020-02-27,08,Castilla La Mancha,,0,,,,
2020-02-27,07,Castilla y León,,2,,,,
2020-02-27,09,Cataluña,,3,,,,
2020-02-27,18,Ceuta,,0,,,,
2020-02-27,10,C. Valenciana,,8,,73,3,
2020-02-27,11,Extremadura,,0,,,,
2020-02-27,12,Galicia,,0,,,,
2020-02-27,13,Madrid,,10,,,,
2020-02-27,19,Melilla,,0,,,,
2020-02-27,14,Murcia,,0,,,,
2020-02-27,15,Navarra,,0,,,,
2020-02-27,16,País Vasco,,0,,,,
2020-02-27,17,La Rioja,,0,,,,
2020-02-28,01,Andalucía,,8,,,,
2020-02-28,02,Aragón,,0,,,,
2020-02-28,03,Asturias,,0,,,,
2020-02-28,04,Baleares,,2,,,,
2020-02-28,05,Canarias,,6,,,,
2020-02-28,06,Cantabria,,0,,,,
2020-02-28,08,Castilla La Mancha,,0,,,,
2020-02-28,07,Castilla y León,,2,,,,
2020-02-28,09,Cataluña,,5,,,,
2020-02-28,18,Ceuta,,0,,,,
2020-02-28,10,C. Valenciana,,10,,78,3,
2020-02-28,11,Extremadura,,0,,,,
2020-02-28,12,Galicia,,0,,,,
2020-02-28,13,Madrid,,20,,,,
2020-02-28,19,Melilla,,0,,,,
2020-02-28,14,Murcia,,0,,,,
2020-02-28,15,Navarra,,0,,,,
2020-02-28,16,País Vasco,,2,,,,
2020-02-28,17,La Rioja,,0,,,,
2020-02-29,01,Andalucía,,12,,,,
2020-02-29,02,Aragón,,0,,,,
2020-02-29,03,Asturias,,1,,0,1,0
2020-02-29,04,Baleares,,2,,,,
2020-02-29,05,Canarias,,7,,,,
2020-02-29,06,Cantabria,,1,,,,
2020-02-29,08,Castilla La Mancha,,1,,,,
2020-02-29,07,Castilla y León,,3,,,,
2020-02-29,09,Cataluña,,6,,,,
2020-02-29,18,Ceuta,,0,,,,
2020-02-29,10,C. Valenciana,,15,,85,3,
2020-02-29,11,Extremadura,,4,,,,
2020-02-29,12,Galicia,,0,,,,
2020-02-29,13,Madrid,,27,,,,
2020-02-29,19,Melilla,,0,,,,
2020-02-29,14,Murcia,,0,,,,
2020-02-29,15,Navarra,,1,,,,
2020-02-29,16,País Vasco,,3,,,,
2020-02-29,17,La Rioja,,0,,,,
2020-03-01,01,Andalucía,,12,,,,
2020-03-01,02,Aragón,,0,,,,
2020-03-01,03,Asturias,,1,,0,1,0
2020-03-01,04,Baleares,,2,,,,
2020-03-01,05,Canarias,,7,,,,
2020-03-01,06,Cantabria,,10,,,,
2020-03-01,08,Castilla La Mancha,,3,,,,
2020-03-01,07,Castilla y León,,3,,,,
2020-03-01,09,Cataluña,,15,,,,
2020-03-01,18,Ceuta,,0,,,,
2020-03-01,10,C. Valenciana,,15,,88,3,
2020-03-01,11,Extremadura,,6,,,,
2020-03-01,12,Galicia,,0,,,,
2020-03-01,13,Madrid,,53,,,,
2020-03-01,19,Melilla,,0,,,,
2020-03-01,14,Murcia,,0,,,,
2020-03-01,15,Navarra,,1,,,,
2020-03-01,16,País Vasco,,9,,,,
2020-03-01,17,La Rioja,,1,,,,
2020-03-02,01,Andalucía,,12,,,,
2020-03-02,02,Aragón,,0,,,,
2020-03-02,03,Asturias,,1,,1,1,0
2020-03-02,04,Baleares,,2,,,,
2020-03-02,05,Canarias,,7,,,,
2020-03-02,06,Cantabria,,10,,,,
2020-03-02,08,Castilla La Mancha,,7,,,,
2020-03-02,07,Castilla y León,,8,,,,
2020-03-02,09,Cataluña,,15,,,,
2020-03-02,18,Ceuta,,0,,,,
2020-03-02,10,C. Valenciana,,15,,93,3,
2020-03-02,11,Extremadura,,6,,,,
2020-03-02,12,Galicia,,0,,,,
2020-03-02,13,Madrid,,96,,,,
2020-03-02,19,Melilla,,0,,,,
2020-03-02,14,Murcia,,0,,,,
2020-03-02,15,Navarra,,1,,,,
2020-03-02,16,País Vasco,,13,,,,
2020-03-02,17,La Rioja,,2,,,,
2020-03-03,01,Andalucía,,12,,,,
2020-03-03,02,Aragón,,0,,,,
2020-03-03,03,Asturias,,2,,1,1,0
2020-03-03,04,Baleares,,5,,,,
2020-03-03,05,Canarias,,7,,,,
2020-03-03,06,Cantabria,,10,,,,
2020-03-03,08,Castilla La Mancha,,12,,,,
2020-03-03,07,Castilla y León,,11,,,,
2020-03-03,09,Cataluña,,15,,,,
2020-03-03,18,Ceuta,,0,,,,
2020-03-03,10,C. Valenciana,,19,,105,5,
2020-03-03,11,Extremadura,,6,,,,
2020-03-03,12,Galicia,,1,,,,
2020-03-03,13,Madrid,,142,,,,
2020-03-03,19,Melilla,,0,,,,
2020-03-03,14,Murcia,,0,,,,
2020-03-03,15,Navarra,,3,,,,
2020-03-03,16,País Vasco,,17,,,,
2020-03-03,17,La Rioja,,7,,,,
2020-03-04,01,Andalucía,,12,,,,
2020-03-04,02,Aragón,,1,,,,
2020-03-04,03,Asturias,,4,,1,1,0
2020-03-04,04,Baleares,,6,,,,
2020-03-04,05,Canarias,,8,,,,
2020-03-04,06,Cantabria,,10,,,,
2020-03-04,08,Castilla La Mancha,,13,,,,
2020-03-04,07,Castilla y León,,11,,,,
2020-03-04,09,Cataluña,,24,,,,
2020-03-04,18,Ceuta,,0,,,,
2020-03-04,10,C. Valenciana,,19,,117,6,
2020-03-04,11,Extremadura,,6,,,,
2020-03-04,12,Galicia,,1,,,,
2020-03-04,13,Madrid,,199,,,,
2020-03-04,19,Melilla,,0,,,,
2020-03-04,14,Murcia,,0,,,,
2020-03-04,15,Navarra,,3,,,,
2020-03-04,16,País Vasco,,17,,,,
2020-03-04,17,La Rioja,,17,,,,
2020-03-05,01,Andalucía,,21,,,,
2020-03-05,02,Aragón,,1,,,,
2020-03-05,03,Asturias,,4,,4,1,0
2020-03-05,04,Baleares,,6,,,,
2020-03-05,05,Canarias,,11,,,,
2020-03-05,06,Cantabria,,10,,,,
2020-03-05,08,Castilla La Mancha,,15,,,,
2020-03-05,07,Castilla y León,,14,,,,
2020-03-05,09,Cataluña,,24,,,,
2020-03-05,18,Ceuta,,0,,,,
2020-03-05,10,C. Valenciana,,30,,130,8,
2020-03-05,11,Extremadura,,6,,,,
2020-03-05,12,Galicia,,3,,,,
2020-03-05,13,Madrid,,311,,,,
2020-03-05,19,Melilla,,0,,,,
2020-03-05,14,Murcia,,0,,,,
2020-03-05,15,Navarra,,3,,,,
2020-03-05,16,País Vasco,,45,,,,
2020-03-05,17,La Rioja,,29,,,,
2020-03-06,01,Andalucía,,27,,,,
2020-03-06,02,Aragón,,5,,,,
2020-03-06,03,Asturias,,7,,4,1,0
2020-03-06,04,Baleares,,6,,,,
2020-03-06,05,Canarias,,11,,,,
2020-03-06,06,Cantabria,,10,,,,
2020-03-06,08,Castilla La Mancha,,15,,,,
2020-03-06,07,Castilla y León,,14,,,,
2020-03-06,09,Cataluña,,24,,,,
2020-03-06,18,Ceuta,,0,,,,
2020-03-06,10,C. Valenciana,,30,,138,8,
2020-03-06,11,Extremadura,,6,,,,
2020-03-06,12,Galicia,,3,,,,
2020-03-06,13,Madrid,,515,,,,
2020-03-06,19,Melilla,,0,,,,
2020-03-06,14,Murcia,,0,,,,
2020-03-06,15,Navarra,,3,,,,
2020-03-06,16,País Vasco,,45,,,,
2020-03-06,17,La Rioja,,47,,,,
2020-03-07,01,Andalucía,,34,,,,
2020-03-07,02,Aragón,,5,,,,
2020-03-07,03,Asturias,,8,,4,1,0
2020-03-07,04,Baleares,,8,,,,
2020-03-07,05,Canarias,,17,,,,
2020-03-07,06,Cantabria,,12,,,,
2020-03-07,08,Castilla La Mancha,,15,,,,
2020-03-07,07,Castilla y León,,22,,,,
2020-03-07,09,Cataluña,,49,,,,
2020-03-07,18,Ceuta,,0,,,,
2020-03-07,10,C. Valenciana,,37,,146,9,
2020-03-07,11,Extremadura,,6,,,,
2020-03-07,12,Galicia,,5,,,,
2020-03-07,13,Madrid,,738,,,,
2020-03-07,19,Melilla,,0,,,,
2020-03-07,14,Murcia,,1,,,,
2020-03-07,15,Navarra,,3,,,,
2020-03-07,16,País Vasco,,70,,,,
2020-03-07,17,La Rioja,,70,,,,
2020-03-08,01,Andalucía,,54,,,1,0
2020-03-08,02,Aragón,,7,,,3,3
2020-03-08,03,Asturias,,10,,7,1,0
2020-03-08,04,Baleares,,11,,,1,0
2020-03-08,05,Canarias,,22,,,0,0
2020-03-08,06,Cantabria,,12,,,0,0
2020-03-08,08,Castilla La Mancha,,26,,21,2,0
2020-03-08,07,Castilla y León,,23,,,2,0
2020-03-08,09,Cataluña,,59,,16,5,2
2020-03-08,18,Ceuta,,0,,,0,0
2020-03-08,10,C. Valenciana,,37,,153,9,1
2020-03-08,11,Extremadura,,7,,,0,0
2020-03-08,12,Galicia,,6,,,2,0
2020-03-08,13,Madrid,,1003,,,61,16
2020-03-08,19,Melilla,,0,,,0,0
2020-03-08,14,Murcia,,4,,,0,0
2020-03-08,15,Navarra,,3,,,1,0
2020-03-08,16,País Vasco,,149,,,5,6
2020-03-08,17,La Rioja,,102,,,1,0
2020-03-09,01,Andalucía,,71,,,1,0
2020-03-09,02,Aragón,,30,,,3,4
2020-03-09,03,Asturias,,15,,11,1,0
2020-03-09,04,Baleares,,13,,,1,0
2020-03-09,05,Canarias,,25,,,1,0
2020-03-09,06,Cantabria,,12,,,0,0
2020-03-09,08,Castilla La Mancha,,39,,31,3,0
2020-03-09,07,Castilla y León,,56,,,2,0
2020-03-09,09,Cataluña,,82,,31,7,2
2020-03-09,18,Ceuta,,0,,,0,0
2020-03-09,10,C. Valenciana,,50,,171,10,1
2020-03-09,11,Extremadura,,8,,,0,0
2020-03-09,12,Galicia,,22,,,2,0
2020-03-09,13,Madrid,,1508,,,120,21
2020-03-09,19,Melilla,,0,,,0,0
2020-03-09,14,Murcia,,9,,,0,0
2020-03-09,15,Navarra,,12,,,2,0
2020-03-09,16,País Vasco,,195,,,5,6
2020-03-09,17,La Rioja,,155,,,1,1
2020-03-10,01,Andalucía,,90,,32,3,0
2020-03-10,02,Aragón,,38,,22,3,4
2020-03-10,03,Asturias,,32,,13,2,0
2020-03-10,04,Baleares,,16,,8,1,0
2020-03-10,05,Canarias,,37,,10,1,0
2020-03-10,06,Cantabria,,12,,0,0,0
2020-03-10,08,Castilla La Mancha,,71,,46,5,0
2020-03-10,07,Castilla y León,,71,,24,5,0
2020-03-10,09,Cataluña,,123,,50,8,3
2020-03-10,18,Ceuta,,0,,0,0,0
2020-03-10,10,C. Valenciana,,65,,200,12,1
2020-03-10,11,Extremadura,,9,,1,1,1
2020-03-10,12,Galicia,,35,,7,2,0
2020-03-10,13,Madrid,,2213,,571,184,31
2020-03-10,19,Melilla,,0,,0,0,0
2020-03-10,14,Murcia,,11,,5,0,0
2020-03-10,15,Navarra,,46,,10,3,0
2020-03-10,16,País Vasco,,225,,102,15,6
2020-03-10,17,La Rioja,,185,,13,1,2
2020-03-11,01,Andalucía,,115,,50,4,0
2020-03-11,02,Aragón,,45,,28,3,6
2020-03-11,03,Asturias,,37,,15,2,0
2020-03-11,04,Baleares,,22,,8,2,1
2020-03-11,05,Canarias,,51,,15,3,0
2020-03-11,06,Cantabria,,16,,3,0,0
2020-03-11,08,Castilla La Mancha,,115,,72,9,1
2020-03-11,07,Castilla y León,,92,,25,7,0
2020-03-11,09,Cataluña,,202,,74,16,6
2020-03-11,18,Ceuta,,0,,0,0,0
2020-03-11,10,C. Valenciana,,76,,232,15,1
2020-03-11,11,Extremadura,,19,,3,1,1
2020-03-11,12,Galicia,,35,,7,2,0
2020-03-11,13,Madrid,,2943,,868,238,56
2020-03-11,19,Melilla,,0,,0,0,0
2020-03-11,14,Murcia,,26,,5,1,0
2020-03-11,15,Navarra,,73,,17,3,0
2020-03-11,16,País Vasco,,346,,146,18,11
2020-03-11,17,La Rioja,,220,,21,1,2
2020-03-12,01,Andalucía,,219,,92,8,0
2020-03-12,02,Aragón,,64,,30,3,7
2020-03-12,03,Asturias,,40,,18,2,1
2020-03-12,04,Baleares,,28,,8,2,1
2020-03-12,05,Canarias,,70,,15,3,0
2020-03-12,06,Cantabria,,29,,3,0,0
2020-03-12,08,Castilla La Mancha,,194,,128,10,5
2020-03-12,07,Castilla y León,,169,,25,8,1
2020-03-12,09,Cataluña,,349,,137,22,9
2020-03-12,18,Ceuta,,0,,0,0,0
2020-03-12,10,C. Valenciana,,94,,271,22,1
2020-03-12,11,Extremadura,,39,,3,1,1
2020-03-12,12,Galicia,,85,,15,6,0
2020-03-12,13,Madrid,,3732,,1290,307,81
2020-03-12,19,Melilla,,2,,3,0,0
2020-03-12,14,Murcia,,35,,8,2,0
2020-03-12,15,Navarra,,130,,28,4,0
2020-03-12,16,País Vasco,,417,,179,20,14
2020-03-12,17,La Rioja,,259,,27,2,3
2020-03-13,01,Andalucía,,269,,92,8,2
2020-03-13,02,Aragón,,80,,42,5,7
2020-03-13,03,Asturias,,86,,24,2,2
2020-03-13,04,Baleares,,28,,8,2,1
2020-03-13,05,Canarias,,90,,15,6,1
2020-03-13,06,Cantabria,,31,,3,0,0
2020-03-13,08,Castilla La Mancha,,289,,191,22,6
2020-03-13,07,Castilla y León,,223,,25,15,3
2020-03-13,09,Cataluña,,558,,200,29,13
2020-03-13,18,Ceuta,,0,,0,0,0
2020-03-13,10,C. Valenciana,,130,,307,29,4
2020-03-13,11,Extremadura,,66,,3,1,2
2020-03-13,12,Galicia,,115,,32,6,0
2020-03-13,13,Madrid,,4672,,1699,370,86
2020-03-13,19,Melilla,,3,,3,0,0
2020-03-13,14,Murcia,,47,,8,2,0
2020-03-13,15,Navarra,,146,,28,4,0
2020-03-13,16,País Vasco,,521,,179,22,14
2020-03-13,17,La Rioja,,292,,38,2,3
2020-03-14,01,Andalucía,,437,,92,8,6
2020-03-14,02,Aragón,,121,,59,5,7
2020-03-14,03,Asturias,,123,,28,3,2
2020-03-14,04,Baleares,,42,,8,2,1
2020-03-14,05,Canarias,,109,,15,6,1
2020-03-14,06,Cantabria,,51,,3,0,0
2020-03-14,08,Castilla La Mancha,,401,,247,56,10
2020-03-14,07,Castilla y León,,292,,45,22,6
2020-03-14,09,Cataluña,,742,,287,40,15
2020-03-14,18,Ceuta,,1,,0,0,0
2020-03-14,10,C. Valenciana,,409,,339,37,5
2020-03-14,11,Extremadura,,95,,7,1,2
2020-03-14,12,Galicia,,195,,32,6,2
2020-03-14,13,Madrid,,5576,,2207,469,213
2020-03-14,19,Melilla,,8,,4,0,0
2020-03-14,14,Murcia,,71,,13,2,0
2020-03-14,15,Navarra,,183,,34,4,0
2020-03-14,16,País Vasco,,630,,262,29,23
2020-03-14,17,La Rioja,,300,,58,7,3
2020-03-15,01,Andalucía,,554,,197,11,7
2020-03-15,02,Aragón,,147,,64,7,11
2020-03-15,03,Asturias,,160,,39,3,2
2020-03-15,04,Baleares,,73,,21,4,1
2020-03-15,05,Canarias,,119,,40,9,1
2020-03-15,06,Cantabria,,58,,18,2,0
2020-03-15,08,Castilla La Mancha,,567,,319,78,17
2020-03-15,07,Castilla y León,,334,,95,29,9
2020-03-15,09,Cataluña,,1017,,375,52,20
2020-03-15,18,Ceuta,,1,,0,0,0
2020-03-15,10,C. Valenciana,,409,,390,47,5
2020-03-15,11,Extremadura,,111,,9,2,2
2020-03-15,12,Galicia,,245,,49,8,2
2020-03-15,13,Madrid,,6392,,2747,566,213
2020-03-15,19,Melilla,,8,,4,0,0
2020-03-15,14,Murcia,,77,,13,2,0
2020-03-15,15,Navarra,,274,,58,5,1
2020-03-15,16,País Vasco,,630,,262,29,23
2020-03-15,17,La Rioja,,312,,64,13,4
2020-03-16,01,Andalucía,,683,,229,13,11
2020-03-16,02,Aragón,,207,,74,9,12
2020-03-16,03,Asturias,,224,,57,6,2
2020-03-16,04,Baleares,,92,,26,4,1
2020-03-16,05,Canarias,,148,,56,13,2
2020-03-16,06,Cantabria,,58,,18,2,0
2020-03-16,08,Castilla La Mancha,,567,,402,95,17
2020-03-16,07,Castilla y León,,431,,95,36,12
2020-03-16,09,Cataluña,,1414,,525,73,23
2020-03-16,18,Ceuta,,1,,0,0,0
2020-03-16,10,C. Valenciana,,541,,456,52,13
2020-03-16,11,Extremadura,,153,,13,5,3
2020-03-16,12,Galicia,,292,,49,12,3
2020-03-16,13,Madrid,,7653,,3314,702,355
2020-03-16,19,Melilla,,17,,4,0,0
2020-03-16,14,Murcia,,97,,18,3,0
2020-03-16,15,Navarra,,313,,72,10,2
2020-03-16,16,País Vasco,,765,,309,33,36
2020-03-16,17,La Rioja,,355,,82,13,5
2020-03-17,01,Andalucía,,859,,319,21,19
2020-03-17,02,Aragón,,226,,81,9,13
2020-03-17,03,Asturias,,269,,78,9,2
2020-03-17,04,Baleares,,112,,29,4,1
2020-03-17,05,Canarias,,181,,73,17,3
2020-03-17,06,Cantabria,,68,,25,3,1
2020-03-17,08,Castilla La Mancha,,675,,498,123,28
2020-03-17,07,Castilla y León,,668,,281,50,22
2020-03-17,09,Cataluña,,1866,,679,101,33
2020-03-17,18,Ceuta,,1,,0,0,0
2020-03-17,10,C. Valenciana,,726,,530,65,22
2020-03-17,11,Extremadura,,194,,22,6,6
2020-03-17,12,Galicia,,341,,63,17,3
2020-03-17,13,Madrid,,9601,,3934,850,390
2020-03-17,19,Melilla,,20,,4,0,0
2020-03-17,14,Murcia,,122,,22,4,0
2020-03-17,15,Navarra,,386,,93,10,3
2020-03-17,16,País Vasco,,973,,353,37,40
2020-03-17,17,La Rioja,,419,,99,13,5
2020-03-18,01,Andalucía,,1008,,384,25,23
2020-03-18,02,Aragón,,281,,101,14,15
2020-03-18,03,Asturias,,310,,105,11,2
2020-03-18,04,Baleares,,169,,31,7,2
2020-03-18,05,Canarias,,220,,82,23,3
2020-03-18,06,Cantabria,,83,,40,4,1
2020-03-18,08,Castilla La Mancha,,801,,633,161,42
2020-03-18,07,Castilla y León,,868,,362,63,29
2020-03-18,09,Cataluña,,2702,,825,118,53
2020-03-18,18,Ceuta,,1,,0,0,0
2020-03-18,10,C. Valenciana,,921,,647,85,24
2020-03-18,11,Extremadura,,241,,33,9,8
2020-03-18,12,Galicia,,453,,100,24,4
2020-03-18,13,Madrid,,11356,,4874,1011,498
2020-03-18,19,Melilla,,23,,4,0,0
2020-03-18,14,Murcia,,167,,36,6,0
2020-03-18,15,Navarra,,482,,132,11,4
2020-03-18,16,País Vasco,,1190,,455,44,53
2020-03-18,17,La Rioja,,468,,121,15,5
2020-03-19,01,Andalucía,,1287,,501,38,30
2020-03-19,02,Aragón,,360,,127,28,17
2020-03-19,03,Asturias,,429,,129,13,4
2020-03-19,04,Baleares,,203,,48,10,2
2020-03-19,05,Canarias,,287,,115,25,4
2020-03-19,06,Cantabria,,144,,61,7,1
2020-03-19,08,Castilla La Mancha,,1044,,751,180,42
2020-03-19,07,Castilla y León,,1147,,476,75,43
2020-03-19,09,Cataluña,,3270,,994,175,93
2020-03-19,18,Ceuta,,5,,0,0,0
2020-03-19,10,C. Valenciana,,1105,,777,101,33
2020-03-19,11,Extremadura,,297,,50,12,10
2020-03-19,12,Galicia,,578,,138,34,5
2020-03-19,13,Madrid,,13399,,6189,1196,628
2020-03-19,19,Melilla,,24,,5,1,0
2020-03-19,14,Murcia,,204,,47,11,0
2020-03-19,15,Navarra,,554,,172,19,5
2020-03-19,16,País Vasco,,1465,,550,53,71
2020-03-19,17,La Rioja,,497,,122,15,7
2020-03-20,01,Andalucía,,1515,,605,53,40
2020-03-20,02,Aragón,,424,,192,33,22
2020-03-20,03,Asturias,,524,,155,18,7
2020-03-20,04,Baleares,,246,,60,14,4
2020-03-20,05,Canarias,,348,,139,29,7
2020-03-20,06,Cantabria,,215,,92,9,2
2020-03-20,08,Castilla La Mancha,,1423,,998,208,84
2020-03-20,07,Castilla y León,,1466,,629,96,55
2020-03-20,09,Cataluña,,4203,,1681,271,143
2020-03-20,18,Ceuta,,5,,0,0,0
2020-03-20,10,C. Valenciana,,1363,,947,129,50
2020-03-20,11,Extremadura,,354,,67,13,12
2020-03-20,12,Galicia,,739,,168,40,9
2020-03-20,13,Madrid,,15722,,7535,1401,804
2020-03-20,19,Melilla,,25,,8,1,0
2020-03-20,14,Murcia,,240,,61,14,1
2020-03-20,15,Navarra,,664,,222,25,9
2020-03-20,16,País Vasco,,1725,,654,71,85
2020-03-20,17,La Rioja,,564,,128,17,15
2020-03-21,01,Andalucía,,1725,,724,55,47
2020-03-21,02,Aragón,,532,,241,45,24
2020-03-21,03,Asturias,,569,,180,22,12
2020-03-21,04,Baleares,,331,,79,14,4
2020-03-21,05,Canarias,,414,,150,32,9
2020-03-21,06,Cantabria,,282,,116,9,5
2020-03-21,08,Castilla La Mancha,,1819,,1126,249,112
2020-03-21,07,Castilla y León,,1744,,798,111,74
2020-03-21,09,Cataluña,,5046,,1917,290,182
2020-03-21,18,Ceuta,,5,,0,0,0
2020-03-21,10,C. Valenciana,,1604,,1136,152,69
2020-03-21,11,Extremadura,,384,,97,24,14
2020-03-21,12,Galicia,,915,,227,50,12
2020-03-21,13,Madrid,,17397,,9063,1532,1021
2020-03-21,19,Melilla,,25,,12,1,0
2020-03-21,14,Murcia,,296,,78,16,1
2020-03-21,15,Navarra,,794,,288,30,14
2020-03-21,16,País Vasco,,2097,,988,81,97
2020-03-21,17,La Rioja,,654,,134,17,18
2020-03-22,01,Andalucía,,1961,,865,77,58
2020-03-22,02,Aragón,,638,,298,52,32
2020-03-22,03,Asturias,,621,,210,25,22
2020-03-22,04,Baleares,,400,,87,27,10
